"","Sex","Order","Diet_Phase","mean_total_parameters","sd_total_parameters","count"
"1","F",1,"NR",0.421813122934664,0.245548850080378,5
"2","F",1,"PR",0.30899501449074,0.219969143546573,5
"3","F",2,"NR",0.353834399934201,0.193512995422241,6
"4","F",2,"PR",0.143149395465963,0.0477730627620466,6
"5","M",1,"NR",0.375955849558214,0.0384008192566297,6
"6","M",1,"PR",0.332799620475813,0.0656290871654998,6
"7","M",2,"NR",0.664712672507996,0.240512290244294,6
"8","M",2,"PR",0.237978656477559,0.102205708946327,6
