"contrast","estimate","SE","df","t.ratio","p.value"
"NR0 Order1 - PR0 Order1",-7.25606060575756,2.95717534437066,21,-2.45371334492233,0.137735323403626
"NR0 Order1 - PR1 Order1",-5.22121212121211,3.34544608353995,21,-1.56069235337589,0.370843927554393
"NR0 Order1 - PR2 Order1",-4.08030303030302,2.54358337424003,21,-1.60415540989378,0.370843927554393
"NR0 Order1 - PR3 Order1",-4.18939393909091,2.80375498607376,21,-1.49420828849154,0.370843927554393
"NR0 Order1 - PR4 Order1",-8.15454545454545,2.93861824856177,21,-2.77495910145406,0.0932526400922418
"NR0 Order1 - PR5 Order1",-7.28939393939392,3.015054727401,21,-2.41766554787463,0.137735323403626
"NR0 Order1 - PR6 Order1",-5.60454545454543,2.8539783142125,21,-1.96376595667718,0.251733465649627
"NR0 Order1 - NR1 Order1",-5.99545454545454,2.1293975751302,21,-2.81556371411193,0.0932526400922418
"NR0 Order1 - NR2 Order1",-7.05757575757575,2.53704809332128,21,-2.78180605884242,0.0932526400922418
"NR0 Order1 - NR3 Order1",-8.18333333333333,2.80822476714258,21,-2.91405924094175,0.0829612159700187
"NR0 Order1 - NR4 Order1",-11.4590909090909,2.90375919336118,21,-3.94629518015462,0.00812497043993034
"NR0 Order1 - NR5 Order1",-12.3484848481818,2.53008540598553,21,-4.88065929275291,0.00103332460434466
"NR0 Order1 - NR6 Order1",-11.8545454545454,2.91766658428266,21,-4.06302266283795,0.00670644924358566
