"","time_phase","Order","mean_value","sd_value","n"
"1","NR0",1,0.882952857505845,0.566412464851621,11
"2","NR0",2,0.769597242401607,0.270165219076619,12
"3","NR1",1,0.844668046781128,0.627691730687591,11
"4","NR1",2,0.75938942497848,0.251854546487636,12
"5","NR2",1,1.09884236359852,1.05364764535546,11
"6","NR2",2,0.587470606277392,0.218414441031861,12
"7","NR3",1,0.927511911524949,0.692892280025923,11
"8","NR3",2,0.757675866656388,0.339987311167041,12
"9","NR4",1,0.705121502960296,0.460772009146058,11
"10","NR4",2,0.729300025488684,0.227856927503489,12
"11","NR5",1,0.806486954512069,0.629722829872164,11
"12","NR5",2,0.644653890806077,0.267568442394704,12
"13","NR6",1,3.08991742471313,7.80146182750303,11
"14","NR6",2,0.733784696142208,0.348898743299636,12
"15","PR0",1,0.839022855019467,0.574055008363095,11
"16","PR0",2,1.34773686880191,0.592109260996891,12
"17","PR1",1,0.931648888271494,0.698762624824474,11
"18","PR1",2,1.61099669506804,0.578722499232297,12
"19","PR2",1,0.931612977047819,0.589976116718821,11
"20","PR2",2,1.69994186189581,0.516971018909016,12
"21","PR3",1,0.932062748554677,0.526023229827721,11
"22","PR3",2,1.67015656292405,0.457878732768942,12
"23","PR4",1,0.919349216639877,0.499989989578577,11
"24","PR4",2,1.45947706011509,0.487058983204231,12
"25","PR5",1,0.928240888824843,0.630195845846731,11
"26","PR5",2,1.19130702575118,0.395482633496165,12
"27","PR6",1,0.935063621810172,0.704794318618786,11
"28","PR6",2,1.04639411825354,0.284001448623158,12
