Mouse_id,Sex,Order,G0,G1,G2,PR0,PR1,PR2,PR3,PR4,PR5,PR6,NR0,NR1,NR2,NR3,NR4,NR5,NR6
FEDXA01,M,2,1.4809329877823028,0.809382846,2.3950183618074408,1.499726612336293,2.073922777799599,2.1963581753332075,2.7045038713664296,1.1807564806897113,1.2434717731907492,0.6403064714735258,0.6949290964436855,0.6133998661230451,0.8322050130444832,1.4066548759922672,0.9987515605493128,0.546226988,0.7606045831301803
FEDXA02,M,2,1.372763014,1.116019530341781,0.4315741801422595,0.5907643834717253,1.0591869759231107,1.4801110083256246,1.3601426260670393,1.0630016374520177,0.6763977124605142,0.8950770760815516,0.745306005,0.7598343139065511,0.7283579069826255,0.610241097,0.728496086,0.5204380353464167,0.6690620740924292
FEDXA03,M,2,1.8571312209823247,0.5587726105904126,0.7030060015882726,0.8520373949745572,1.804791291165833,1.859883937,1.252143876608657,1.1045248702183277,1.1151751992660817,1.216749076797896,0.3903103896908493,0.4849595193512319,0.6342718207124989,1.3379998141666938,0.6132443750443607,0.4619869103708726,0.4596206968592586
FEDXA04,M,2,3.2281408300034613,0.955679172,1.0171857859920883,1.3026347530086573,1.7066796328936973,1.5003393624748451,1.213862004370903,1.5572618146425865,0.8317716222113826,0.7845036319612596,0.7675033400608319,1.1973704805133825,0.4341795814991256,0.6816747317483692,0.5321507760532149,0.8924144769459587,1.1237124128602654
FEDXA05,M,2,0.8485331979548174,0.4194663455936615,0.3690557043453746,0.6890140536993493,1.087455595563181,1.1258525085100497,1.3444039186884589,1.6721484345577349,1.5621518289607932,1.1156005291951223,0.8539522662579374,1.135102411462012,0.5908904390644236,0.5538723726566938,0.7037170696499455,0.2491211559221636,0.5634905106632753
FEDXA06,M,2,1.2015149536371943,0.9212493434078144,,1.313992943,1.422610676553656,1.6421628829081725,2.1472428512952466,2.7940450151696883,1.898022307620208,1.5563625583635952,1.216645115786999,0.7467524049057486,0.4532121410496895,0.8517618852329722,0.6571741511500547,0.5669940723346983,0.7763049406989282
FEDXA07,M,1,1.4324131496624777,0.585824815,0.1963083131117593,0.2424038380607693,0.2813818977645771,0.7303538397279074,0.6134028523232635,0.5597331373325042,0.3485766453647606,0.3718176028092884,0.3883614844038959,0.5224963715529755,0.3442176220299277,0.1816782528608016,0.3846095145067995,0.3899949445099786,0.2003822105126444
FEDXA08,M,1,0.9034868947343656,0.2792646032115429,0.8632978510811204,0.5155008233693706,0.4413868265104557,0.5164453950285609,0.7408645992771428,0.4511165133705922,0.5957446808510638,0.6462246446580395,0.7568773955654747,0.7930291756412767,0.8587888691420464,0.3956913607386236,0.444691495,0.518455578,0.5439874278461125
FEDXA09,M,1,1.813221406086044,0.449314795,0.6175934967932645,0.5517100457204158,0.728909851,0.9375,1.1578044596912522,0.974711648,0.8033124240696201,0.8027569430366913,1.8401772022491056,0.2356884722149479,0.2060872054193303,0.3542130443873221,0.5022905378694511,0.2983837546622459,0.8494684267792308
FEDXA10,M,1,2.4525388318648385,0.6006006006006005,0.2652871733651678,0.5096663573012851,0.3954522985664853,0.4866508955728286,0.7192807192807192,0.7451102142191868,0.4900141064667015,0.455600084,1.123946300343428,0.1490961048642604,0.4820926391596113,0.5372599741319275,0.3110688671908754,0.3588772269613637,0.3553230602198562
FEDXA11,M,1,1.9685496031417256,1.179304365,0.4492629280087358,1.3826722800797695,1.4792899408284026,1.6137915135058984,1.637127897544308,1.9228759536001672,1.7602099899637145,1.756120713522921,0.6912774230713841,0.8170188368231824,1.0696246409824697,1.505125210847282,1.2556679455877222,1.3023789623382949,1.5530390570834294
FEDXA12,M,1,0.8709016393442623,1.0304483165766218,0.5486968449931412,0.6807074703281358,0.9233249468721756,1.2950842501044422,1.1379467787442783,0.9142249041635936,0.6596628389934032,0.6263904251749292,0.9244117686808212,0.9398920073577404,0.9098896337573869,0.7705285422909374,0.7993082010891162,1.2579415501905968,1.1396481955570237
FEDXB01,F,2,1.2933357283994968,0.721814849,0.2999400119976004,1.8737191373084805,1.0891297485004734,1.501114108127125,1.7298900284196217,1.4152855756354654,1.623372770532462,1.175222394515628,0.6601125576540615,0.7793988525516894,0.3313609467455621,0.7385524372230425,0.7222389407162201,0.6883611984177258,0.6079960695203592
FEDXB02,F,2,3.0560271646859083,1.3488703211060735,0.2653921291575028,2.025791324736225,2.6976224344645394,2.840764035555968,1.242294480259752,1.2745368002832302,0.9404505703658554,0.7768561602265831,0.7314966896388235,0.4209330683014014,0.4093596805983728,,0.6470165348670016,0.9216589861751144,0.3540937168037137
FEDXB03,F,2,0.8854294766996051,1.4854549205694243,0.3134864482420811,0.9937692247022636,1.402471789360559,1.8794619008304605,2.0599630446444546,1.481310034,1.1819333051920635,1.407899882675009,1.1632176480091647,0.8507039450773594,0.8291210589475981,0.803165694,1.0306695773538992,0.6101694915254234,1.5617092039621172
FEDXB04,F,2,0.7978369753113779,0.5314437555358722,1.3408177924392777,2.6226505422225923,2.0828413545553297,2.135257701385199,1.9001919385796548,1.775606548136318,1.5622156585522904,0.7643312101910825,0.6350139644274585,0.6708074534161492,0.4773097089133972,0.329863656,0.4093157226506982,0.3221236298560884,0.341949349
FEDXB05,F,2,1.1879776660198789,1.0951946351335262,0.3796467176377536,1.361520103287732,2.173610143514003,1.1861893666596062,1.5460122699386505,1.1822212117767417,0.9583247064391136,0.9917474158272344,0.3374894534545796,0.4671953857245854,0.3318890015672535,0.4320979422002319,1.1776526392036828,1.200485910963961,0.9805314764814548
FEDXB06,F,2,0.8812065751567532,0.4117697520802951,0.091587905,1.0472219528750122,0.7316379205224436,1.0518073556394407,1.5412278448497307,1.0130262988193088,0.7023968542226358,1.2320730117340282,1.0391903823948925,0.9862153984086072,0.9974899762036704,0.588550027,0.5311728726258185,0.7558658338144981,0.6063413196345108
FEDXB07,F,1,1.523643405881674,0.3475630360274833,0.5233733793267515,0.4946942514695778,0.9080099448708248,0.8554003748976952,0.7159737008353027,0.9295462928808556,1.263402474,0.7565886259509893,0.4379362255371561,1.2193056731583418,0.6908628589248448,0.6673669900512886,0.3596583245916378,0.7999719308094448,0.5514475498182733
FEDXB08,F,1,3.8536038332143954,0.307876507,0.176578786,0.927181882,0.6778500513522765,0.1930570948482356,0.2625118494932062,0.359514655,0.4807050340499403,0.3825412427277313,,0.6196568936829425,3.7815126050419847,0.6471328419917308,0.4596694757579072,0.3596916928347131,26.56826568265424
FEDXB10,F,1,1.344079099827484,1.0813787579163434,0.8019288222653177,1.3507175687083766,1.049501486793773,1.294438322797657,1.4715960324616768,1.231378932097236,1.9294171146444064,1.9755678564611576,0.754072475,1.303969863807592,1.3263135376680173,1.7660956118720876,1.375161151697465,1.7428267800212536,0.8911471565370337
FEDXB11,F,1,0.424979341,0.6884827879303017,0.9336402243329984,2.162669050095972,2.7740895295902885,2.0797894534133583,1.6742239274502966,1.596545486374512,1.726473797163307,2.2368693575701464,1.7895069817886031,2.361766125738052,2.1632831002344743,2.435130820639088,1.5290050848857368,1.842834079304868,1.3363829048366054
FEDXB12,F,1,0.8334965894316906,0.1010583050276506,,0.4113278380804701,0.5889409968371693,0.2452316076294277,0.121957417,0.428083646,0.1531306715063521,0.275222344,0.1229613184185808,0.3294289897510978,0.2545932872236602,0.9424083769633518,0.3352059343865421,0,0
