"diet","hour","emmean","SE","df","lower.CL","upper.CL"
"NR","0",1.38809523809523,0.150747623705718,172.470542100416,1.09054746542849,1.68564301076197
"PR","0",1.7464285714286,0.150747623705718,172.470542100425,1.44888079876186,2.04397634409534
"NR","1",0.690476190476187,0.150747623705718,172.470542100469,0.392928417809447,0.988023963142928
"PR","1",1.01547619047619,0.150747623705718,172.470542100467,0.717928417809448,1.31302396314293
"NR","2",1.19404761904762,0.150747623705719,172.470542100462,0.896499846380875,1.49159539171436
"PR","2",1.61785714285714,0.150747623705719,172.47054210045,1.3203093701904,1.91540491552388
"NR","3",1.19404761904762,0.150747623705718,172.470542100456,0.896499846380876,1.49159539171436
"PR","3",1.375,0.150747623705719,172.470542100471,1.07745222733325,1.67254777266674
"NR","4",0.889285714285711,0.150747623705719,172.470542100462,0.59173794161897,1.18683348695245
"PR","4",0.967857142857141,0.150747623705718,172.470542100469,0.6703093701904,1.26540491552388
"NR","5",0.738095238095235,0.150747623705719,172.470542100456,0.440547465428494,1.03564301076198
"PR","5",0.784523809523807,0.150747623705718,172.470542100462,0.486976036857067,1.08207158219055
"NR","6",0.465476190476188,0.150747623705719,172.470542100458,0.167928417809447,0.76302396314293
"PR","6",0.574999999999998,0.15074762370572,172.470542100456,0.277452227333255,0.872547772666741
"NR","7",0.38333333333333,0.150747623705719,172.47054210046,0.0857855606665887,0.680881106000072
"PR","7",0.505952380952379,0.150747623705718,172.470542100464,0.208404608285639,0.803500153619119
"NR","8",0.604761904761903,0.150747623705718,172.470542100462,0.307214132095163,0.902309677428644
"PR","8",0.54285714285714,0.150747623705719,172.470542100462,0.245309370190399,0.840404915523882
"NR","9",0.624999999999998,0.150747623705719,172.47054210046,0.327452227333257,0.922547772666739
"PR","9",0.77738095238095,0.150747623705718,172.470542100456,0.479833179714209,1.07492872504769
"NR","10",0.628571428571426,0.150747623705719,172.47054210046,0.331023655904685,0.926119201238167
"PR","10",0.711904761904759,0.150747623705718,172.470542100462,0.414356989238019,1.0094525345715
"NR","11",0.785714285714284,0.150747623705718,172.470542100464,0.488166513047543,1.08326205838102
"PR","11",1.07619047619047,0.150747623705719,172.470542100473,0.778642703523733,1.37373824885722
"NR","12",1.66071428571428,0.150747623705718,172.470542100458,1.36316651304754,1.95826205838102
"PR","12",1.97857142857143,0.150747623705719,172.47054210045,1.68102365590468,2.27611920123817
"NR","13",3.35714285714285,0.150747623705719,172.470542100458,3.05959508447611,3.6546906298096
"PR","13",3.76785714285714,0.150747623705718,172.47054210046,3.4703093701904,4.06540491552388
"NR","14",3.04523809523809,0.150747623705718,172.470542100469,2.74769032257135,3.34278586790483
"PR","14",3.95357142857143,0.150747623705719,172.470542100471,3.65602365590469,4.25111920123817
"NR","15",2.77142857142857,0.150747623705718,172.47054210046,2.47388079876183,3.06897634409531
"PR","15",3.71309523809524,0.150747623705718,172.470542100456,3.4155474654285,4.01064301076198
"NR","16",2.35119047619047,0.150747623705718,172.470542100458,2.05364270352373,2.64873824885722
"PR","16",3.50714285714285,0.150747623705718,172.470542100467,3.20959508447611,3.8046906298096
"NR","17",2.19642857142857,0.150747623705718,172.470542100458,1.89888079876183,2.49397634409531
"PR","17",2.83214285714285,0.150747623705719,172.470542100473,2.53459508447611,3.1296906298096
"NR","18",1.875,0.150747623705719,172.47054210046,1.57745222733326,2.17254777266674
"PR","18",2.86428571428571,0.150747623705718,172.470542100462,2.56673794161897,3.16183348695245
"NR","19",1.325,0.150747623705719,172.47054210046,1.02745222733326,1.62254777266674
"PR","19",2.01904761904762,0.150747623705718,172.470542100467,1.72149984638088,2.31659539171436
"NR","20",1.10714285714285,0.150747623705718,172.470542100456,0.809595084476114,1.4046906298096
"PR","20",1.49761904761905,0.150747623705718,172.470542100473,1.20007127495231,1.79516682028579
"NR","21",0.91190476190476,0.150747623705718,172.470542100462,0.614356989238019,1.2094525345715
"PR","21",1.57857142857143,0.150747623705718,172.470542100456,1.28102365590469,1.87611920123817
"NR","22",1.08571428571428,0.150747623705718,172.47054210046,0.788166513047544,1.38326205838102
"PR","22",1.44404761904762,0.150747623705718,172.470542100467,1.14649984638088,1.74159539171436
"NR","23",1.66309523809523,0.150747623705718,172.470542100456,1.36554746542849,1.96064301076198
"PR","23",2.22261904761905,0.150747623705718,172.47054210046,1.9250712749523,2.52016682028579
