"contrast","estimate","SE","df","t.ratio","p.value","Sex"
"NR0 Order1 SexM - PR0 Order1 SexM",0.159780326666667,0.111783516881677,19,1.42937287288782,1,"M"
"NR0 Order1 SexM - PR1 Order1 SexM",0.000960875499999871,0.165423173903064,19,0.00580859064258393,1,"M"
"NR0 Order1 SexM - PR2 Order1 SexM",0.187575334333333,0.108118549188864,19,1.73490428553266,1,"M"
"NR0 Order1 SexM - PR3 Order1 SexM",0.0692856734999998,0.1742993687245,19,0.397509606644151,1,"M"
"NR0 Order1 SexM - PR4 Order1 SexM",-0.0696774613333334,0.140143137939652,19,-0.497187820664739,1,"M"
"NR0 Order1 SexM - PR5 Order1 SexM",0.0692794564999999,0.117316170386678,19,0.590536294115745,1,"M"
"NR0 Order1 SexM - PR6 Order1 SexM",0.0637673564999999,0.133582227075409,19,0.47736407676451,1,"M"
"NR0 Order1 SexM - NR1 Order1 SexM",0.0605715804999998,0.0925206996923403,19,0.654681392395636,1,"M"
"NR0 Order1 SexM - NR2 Order1 SexM",0.134483083833333,0.0962814359597078,19,1.39677064942833,1,"M"
"NR0 Order1 SexM - NR3 Order1 SexM",0.0884412368333335,0.182870564670562,19,0.483627515410469,1,"M"
"NR0 Order1 SexM - NR4 Order1 SexM",0.0990620913333333,0.10252926859369,19,0.966183536585085,1,"M"
"NR0 Order1 SexM - NR5 Order1 SexM",0.127606026333333,0.152903328801722,19,0.834553618507593,1,"M"
"NR0 Order1 SexM - NR6 Order1 SexM",-0.0810550833333336,0.147449587836757,19,-0.549713868465136,1,"M"
