"contrast","estimate","SE","df","t.ratio","p.value","contrast_pretty"
"PR X0 Order1 - NR X3 Order2",-7.24242424242424,3.00937942288937,21,-2.40661718736371,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X3 Order2",-4.82575757575758,4.62500701704715,21,-1.04340546035292,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X4 Order2",-8.24242424242424,3.44311861683725,21,-2.39388332487816,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X4 Order2",-4.24242424242424,3.505728275933,21,-1.21014063512814,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X5 Order2",-13.2424242424242,4.13630681448796,21,-3.20150918109868,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X5 Order2",-5.57575757575758,3.32033409149801,21,-1.67927606743995,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X6 Order2",-6.49242424242424,2.60943678333195,21,-2.48805576892887,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X6 Order2",-8.90909090909091,3.36944235856429,21,-2.64408467663684,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - PR X1 Order1",-4.27272727272727,7.7647170187805,21,-0.550274692869404,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - NR X2 Order1",0.90909090909091,1.9612874091254,21,0.46351743495682,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - PR X2 Order1",-4.72727272727273,7.50012462181652,21,-0.630292557209241,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - NR X3 Order1",0.727272727272729,2.38850827837814,21,0.304488258992582,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - PR X3 Order1",-6.27272727272727,7.59255497100944,21,-0.82616817351713,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - NR X4 Order1",1.18181818181818,2.50134425357745,21,0.472473223199059,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - PR X4 Order1",-3.63636363636364,4.00119685622984,21,-0.908818977677101,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - NR X5 Order1",1.18181818181818,3.21744637408971,21,0.367315580248807,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - PR X5 Order1",-4.36363636363636,4.77617892091705,21,-0.913624978437475,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - NR X6 Order1",0.909090909090909,3.15667763149156,21,0.287989783949321,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - PR X6 Order1",-3.09090909090909,4.19470690872575,21,-0.736859370193288,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - NR X0 Order2",-12.5681818181818,7.12490060596571,21,-1.76397995049341,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - PR X0 Order2",1.18181818181818,5.18209664829859,21,0.228057919800898,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - NR X1 Order2",-11.9848484848485,7.10455744877318,21,-1.68692400213022,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - PR X1 Order2",-4.48484848484849,7.05638417397604,21,-0.635573173777672,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - NR X2 Order2",-9.81818181818182,6.34851326074086,21,-1.54653245806343,1,"NANA OrderNA - NANA OrderNA"
