"contrast","estimate","SE","df","t.ratio","p.value","contrast_pretty"
"NR X5 Order1 - PR X0 Order2",-1.11022302462516e-16,4.30878829436497,21,-2.57664788515394e-17,1,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - NR X1 Order2",-13.1666666666667,6.49509564488988,21,-2.02717055860844,0.933112925037785,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - PR X1 Order2",-5.66666666666667,6.44236668500703,21,-0.879593935541482,0.999999715723367,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - NR X2 Order2",-11,5.65819330839372,21,-1.94408345569988,0.953610027340717,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - PR X2 Order2",-5.16666666666667,6.19530420010141,21,-0.833964967625334,0.999999905338991,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - NR X3 Order2",-8.33333333333334,5.15129445244926,21,-1.61771636435404,0.99334781267284,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - PR X3 Order2",-5.91666666666667,6.23459380654906,21,-0.949005957766097,0.999998704675869,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - NR X4 Order2",-9.33333333333333,5.41613661520238,21,-1.72324555239909,0.986202384302615,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - PR X4 Order2",-5.33333333333333,5.45615256106359,21,-0.97748977391015,0.999997702310268,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - NR X5 Order2",-14.3333333333333,5.88119920496697,21,-2.43714467641703,0.758405650094037,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - PR X5 Order2",-6.66666666666667,5.33892203577543,21,-1.24869151899844,0.999826079236301,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - NR X6 Order2",-7.58333333333333,4.92834965796161,21,-1.53871658052563,0.996434102584107,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - PR X6 Order2",-10,5.36960071444906,21,-1.8623358666299,0.969058292041508,"NANA OrderNA - NANA OrderNA"
