""
Pairwise,comparisons,using,t,tests,with,pooled,SD
""
data:,data$Meals,and,"interaction(data$Sex,","data$Order,","data$Phase,",data$Hour)
""
F.1.NR.0,M.1.NR.0,F.2.NR.0,M.2.NR.0,F.1.PR.0,M.1.PR.0,F.2.PR.0
F.1.NR.9,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.9,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.9,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.9,1.00000,1.00000,1.00000,1.00000,0.81624,1.00000,1.00000
F.1.PR.9,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.9,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.9,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.PR.9,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.NR.10,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.10,1.00000,1.00000,1.00000,1.00000,0.51880,1.00000,1.00000
F.2.NR.10,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.10,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.10,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.10,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.10,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.PR.10,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.NR.11,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.11,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.11,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.11,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.11,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.11,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.11,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.PR.11,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.NR.12,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.12,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.12,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.12,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.12,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.12,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.12,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.PR.12,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.NR.13,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.13,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.13,**2.2e-05**,**3.9e-07**,**1.8e-07**,**6.6e-10**,**0.02670**,**1.2e-08**,**0.00021**
M.2.NR.13,0.20211,**0.01488**,**0.00841**,**0.00011**,1.00000,**0.00103**,1.00000
F.1.PR.13,1.00000,0.97562,0.62240,**0.01947**,1.00000,0.11790,1.00000
M.1.PR.13,**0.02670**,**0.00141**,**0.00076**,**7.2e-06**,1.00000,**7.9e-05**,0.21688
F.2.PR.13,**4.2e-05**,**8.2e-07**,**3.9e-07**,**1.5e-09**,**0.04508**,**2.6e-08**,**0.00040**
M.2.PR.13,**0.00522**,**0.00021**,**0.00011**,**8.2e-07**,1.00000,**1.0e-05**,**0.04508**
F.1.NR.14,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.14,1.00000,1.00000,1.00000,0.93056,1.00000,1.00000,1.00000
F.2.NR.14,1.00000,0.45588,0.27888,**0.00628**,1.00000,**0.04508**,1.00000
M.2.NR.14,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.14,1.00000,0.97562,0.62240,**0.01947**,1.00000,0.11790,1.00000
M.1.PR.14,**0.03472**,**0.00191**,**0.00103**,**1.0e-05**,1.00000,**0.00011**,0.27888
F.2.PR.14,**5.8e-05**,**1.2e-06**,**5.6e-07**,**2.3e-09**,0.05828,**3.9e-08**,**0.00055**
M.2.PR.14,**0.00297**,**0.00011**,**5.7e-05**,**3.9e-07**,1.00000,**5.0e-06**,**0.02607**
F.1.NR.15,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.15,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.15,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.15,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.15,1.00000,1.00000,1.00000,0.22225,1.00000,1.00000,1.00000
M.1.PR.15,1.00000,1.00000,0.73663,**0.01973**,1.00000,0.12996,1.00000
F.2.PR.15,**1.6e-05**,**2.7e-07**,**1.2e-07**,**4.3e-10**,**0.02050**,**7.8e-09**,**0.00015**
M.2.PR.15,0.12387,**0.00841**,**0.00469**,**5.7e-05**,1.00000,**0.00055**,0.93056
F.1.NR.16,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.16,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.16,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.16,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.16,1.00000,1.00000,1.00000,0.89327,1.00000,1.00000,1.00000
M.1.PR.16,1.00000,1.00000,1.00000,0.73663,1.00000,1.00000,1.00000
F.2.PR.16,0.15848,**0.01120**,**0.00628**,**7.9e-05**,1.00000,**0.00076**,1.00000
M.2.PR.16,**0.01196**,**0.00055**,**0.00029**,**2.4e-06**,1.00000,**2.9e-05**,0.10027
F.1.NR.17,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.17,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.17,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.17,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.17,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.17,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.17,1.00000,1.00000,0.73663,**0.01973**,1.00000,0.12996,1.00000
M.2.PR.17,0.51880,**0.04508**,**0.02607**,**0.00040**,1.00000,**0.00348**,1.00000
F.1.NR.18,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.18,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.18,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.18,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.18,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.18,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.18,1.00000,0.45588,0.27888,**0.00628**,1.00000,**0.04508**,1.00000
M.2.PR.18,0.51880,**0.04508**,**0.02607**,**0.00040**,1.00000,**0.00348**,1.00000
F.1.NR.19,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.19,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.19,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.19,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.19,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.19,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.19,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.PR.19,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.NR.20,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.20,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.20,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.20,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.20,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.20,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.20,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.PR.20,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.NR.21,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.21,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.21,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.21,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.21,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.21,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.21,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.PR.21,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.NR.22,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.22,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.22,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.22,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.22,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.22,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.22,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.PR.22,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.NR.23,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.23,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.23,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.23,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.23,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.23,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.23,1.00000,1.00000,1.00000,0.10027,1.00000,0.58073,1.00000
M.2.PR.23,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.PR.0,F.1.NR.1,M.1.NR.1,F.2.NR.1,M.2.NR.1,F.1.PR.1,M.1.PR.1
M.1.NR.0,-,-,-,-,-,-,-
F.2.NR.0,-,-,-,-,-,-,-
M.2.NR.0,-,-,-,-,-,-,-
F.1.PR.0,-,-,-,-,-,-,-
M.1.PR.0,-,-,-,-,-,-,-
F.2.PR.0,-,-,-,-,-,-,-
M.2.PR.0,-,-,-,-,-,-,-
F.1.NR.1,1.00000,-,-,-,-,-,-
M.1.NR.1,1.00000,1.00000,-,-,-,-,-
F.2.NR.1,1.00000,1.00000,1.00000,-,-,-,-
M.2.NR.1,1.00000,1.00000,1.00000,1.00000,-,-,-
F.1.PR.1,1.00000,1.00000,1.00000,1.00000,1.00000,-,-
M.1.PR.1,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-
F.2.PR.1,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.PR.1,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.NR.2,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.2,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.2,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.2,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.2,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.2,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.2,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.PR.2,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.NR.3,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.3,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.3,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.3,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.3,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.3,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.3,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.PR.3,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.NR.4,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.4,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.4,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.4,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.4,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.4,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.4,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.PR.4,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.NR.5,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.5,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.5,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.5,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.5,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.5,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.5,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.PR.5,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.NR.6,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.6,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.6,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.6,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.6,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.6,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.6,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.PR.6,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
