mouse_id,sex,order,phase,param,day,value
FEDXA01,M,2.0,NR,meal_freq_per_day,4,0.875
FEDXA01,M,2.0,NR,meal_freq_per_day,5,0.8333333333333334
FEDXA01,M,2.0,NR,meal_freq_per_day,6,0.4583333333333333
FEDXA01,M,2.0,NR,meal_freq_per_day,7,0.4583333333333333
FEDXA02,M,2.0,NR,meal_freq_per_day,1,0.9166666666666666
FEDXA02,M,2.0,NR,meal_freq_per_day,2,0.875
FEDXA02,M,2.0,NR,meal_freq_per_day,3,1.5833333333333333
FEDXA02,M,2.0,NR,meal_freq_per_day,4,1.375
FEDXA02,M,2.0,NR,meal_freq_per_day,5,1.3333333333333333
FEDXA02,M,2.0,NR,meal_freq_per_day,6,1.2083333333333333
FEDXA02,M,2.0,NR,meal_freq_per_day,7,0.7916666666666666
FEDXA03,M,2.0,NR,meal_freq_per_day,1,1.0
FEDXA03,M,2.0,NR,meal_freq_per_day,2,1.125
FEDXA03,M,2.0,NR,meal_freq_per_day,3,1.1666666666666667
FEDXA03,M,2.0,NR,meal_freq_per_day,4,0.875
FEDXA03,M,2.0,NR,meal_freq_per_day,5,0.9583333333333334
FEDXA03,M,2.0,NR,meal_freq_per_day,6,1.2916666666666667
FEDXA03,M,2.0,NR,meal_freq_per_day,7,0.9166666666666666
FEDXA04,M,2.0,NR,meal_freq_per_day,1,0.7916666666666666
FEDXA04,M,2.0,NR,meal_freq_per_day,2,0.75
FEDXA04,M,2.0,NR,meal_freq_per_day,3,1.0416666666666667
FEDXA04,M,2.0,NR,meal_freq_per_day,4,0.20833333333333334
FEDXA04,M,2.0,NR,meal_freq_per_day,5,0.875
FEDXA04,M,2.0,NR,meal_freq_per_day,6,1.2083333333333333
FEDXA04,M,2.0,NR,meal_freq_per_day,7,0.6666666666666666
FEDXA05,M,2.0,NR,meal_freq_per_day,1,1.8333333333333333
FEDXA05,M,2.0,NR,meal_freq_per_day,2,1.6666666666666667
FEDXA05,M,2.0,NR,meal_freq_per_day,3,1.375
FEDXA05,M,2.0,NR,meal_freq_per_day,4,1.6666666666666667
FEDXA05,M,2.0,NR,meal_freq_per_day,5,1.5833333333333333
FEDXA05,M,2.0,NR,meal_freq_per_day,6,1.5416666666666667
FEDXA05,M,2.0,NR,meal_freq_per_day,7,1.25
FEDXA06,M,2.0,NR,meal_freq_per_day,1,1.7083333333333333
FEDXA06,M,2.0,NR,meal_freq_per_day,2,1.8333333333333333
FEDXA06,M,2.0,NR,meal_freq_per_day,3,1.8333333333333333
FEDXA06,M,2.0,NR,meal_freq_per_day,4,1.6666666666666667
FEDXA06,M,2.0,NR,meal_freq_per_day,5,1.5
FEDXA06,M,2.0,NR,meal_freq_per_day,6,1.3333333333333333
FEDXA06,M,2.0,NR,meal_freq_per_day,7,1.7083333333333333
