mouse_id,sex,order,nr_meal_freq_per_day_day1,nr_meal_freq_per_day_day2,nr_meal_freq_per_day_day3,nr_meal_freq_per_day_day4,nr_meal_freq_per_day_day5,nr_meal_freq_per_day_day6,nr_meal_freq_per_day_day7
FEDXA01,M,2.0,0.625,1.0,1.0,0.875,0.8333333333333334,0.4583333333333333,0.4583333333333333
FEDXA02,M,2.0,0.9166666666666666,0.875,1.5833333333333333,1.375,1.3333333333333333,1.2083333333333333,0.7916666666666666
FEDXA03,M,2.0,1.0,1.125,1.1666666666666667,0.875,0.9583333333333334,1.2916666666666667,0.9166666666666666
FEDXA04,M,2.0,0.7916666666666666,0.75,1.0416666666666667,0.20833333333333334,0.875,1.2083333333333333,0.6666666666666666
FEDXA05,M,2.0,1.8333333333333333,1.6666666666666667,1.375,1.6666666666666667,1.5833333333333333,1.5416666666666667,1.25
FEDXA06,M,2.0,1.7083333333333333,1.8333333333333333,1.8333333333333333,1.6666666666666667,1.5,1.3333333333333333,1.7083333333333333
FEDXA07,M,1.0,0.9166666666666666,1.1666666666666667,1.2916666666666667,0.875,1.4166666666666667,1.4166666666666667,1.2916666666666667
FEDXA08,M,1.0,1.5,1.6666666666666667,1.7083333333333333,1.1666666666666667,0.7083333333333334,0.75,0.75
FEDXA09,M,1.0,1.375,1.4166666666666667,1.375,1.2916666666666667,1.5833333333333333,0.6666666666666666,1.5416666666666667
FEDXA10,M,1.0,1.3333333333333333,1.4583333333333333,1.9583333333333333,1.4166666666666667,1.0416666666666667,1.6666666666666667,1.0833333333333333
FEDXA11,M,1.0,1.1666666666666667,1.2916666666666667,1.5416666666666667,1.5833333333333333,1.5833333333333333,1.25,1.125
FEDXA12,M,1.0,1.3333333333333333,1.2916666666666667,1.625,1.375,1.5833333333333333,1.7916666666666667,1.9166666666666667
FEDXB01,F,2.0,2.5833333333333335,1.875,1.7916666666666667,1.7916666666666667,1.4583333333333333,2.5833333333333335,2.125
FEDXB02,F,2.0,1.5416666666666667,1.5833333333333333,1.3333333333333333,1.4166666666666667,0.9583333333333334,1.8333333333333333,1.5
FEDXB03,F,2.0,2.5,2.6666666666666665,2.4583333333333335,2.0,2.0416666666666665,1.8333333333333333,1.5
FEDXB04,F,2.0,1.8333333333333333,1.2083333333333333,1.3333333333333333,0.9583333333333334,0.5416666666666666,0.9583333333333334,0.9583333333333334
FEDXB05,F,2.0,1.7083333333333333,1.9166666666666667,2.0833333333333335,1.4166666666666667,1.3333333333333333,2.0416666666666665,1.75
FEDXB06,F,2.0,1.0416666666666667,2.5,1.7916666666666667,2.0,1.5,1.75,1.0833333333333333
FEDXB07,F,1.0,1.125,1.3333333333333333,1.2916666666666667,1.5,1.75,1.4583333333333333,1.0416666666666667
FEDXB08,F,1.0,0.7916666666666666,0.7083333333333334,1.0833333333333333,0.875,0.625,0.9583333333333334,0.4583333333333333
FEDXB10,F,1.0,1.6666666666666667,1.75,2.625,2.1666666666666665,2.25,2.25,2.0
FEDXB11,F,1.0,1.75,1.7083333333333333,1.9583333333333333,1.8333333333333333,1.7916666666666667,1.625,1.7916666666666667
FEDXB12,F,1.0,0.6666666666666666,0.875,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.5833333333333334,0.3333333333333333
