mouse_id,sex,order,nr_mega_meal_size_per_day_day1,nr_mega_meal_size_per_day_day2,nr_mega_meal_size_per_day_day3,nr_mega_meal_size_per_day_day4,nr_mega_meal_size_per_day_day5,nr_mega_meal_size_per_day_day6,nr_mega_meal_size_per_day_day7
FEDXA01,M,2.0,8.238095238095237,7.444444444444445,7.529411764705882,7.0625,8.055555555555555,8.45,8.0
FEDXA02,M,2.0,7.823529411764706,6.545454545454546,7.5,6.555555555555555,6.571428571428571,7.5,7.153846153846154
FEDXA03,M,2.0,8.258064516129032,8.538461538461538,7.7894736842105265,7.875,7.0,7.909090909090909,7.8125
FEDXA04,M,2.0,7.607142857142857,8.227272727272727,7.75,7.416666666666667,7.722222222222222,7.933333333333334,7.444444444444445
FEDXA05,M,2.0,8.583333333333334,7.153846153846154,7.117647058823529,7.571428571428571,6.846153846153846,7.642857142857143,7.0
FEDXA06,M,2.0,7.75,8.2,6.0,7.125,6.428571428571429,7.714285714285714,7.0
FEDXA07,M,1.0,6.909090909090909,7.0,6.777777777777778,7.363636363636363,6.571428571428571,8.125,6.7
FEDXA08,M,1.0,6.5,8.142857142857142,7.285714285714286,7.0,7.75,10.0,8.333333333333334
FEDXA09,M,1.0,7.4,6.5,7.714285714285714,6.8,6.666666666666667,8.2,6.444444444444445
FEDXA10,M,1.0,6.8,7.222222222222222,6.166666666666667,7.5,7.0,7.285714285714286,7.0
FEDXA11,M,1.0,8.454545454545455,6.142857142857143,7.428571428571429,8.857142857142858,6.625,8.428571428571429,7.1
FEDXA12,M,1.0,8.857142857142858,6.083333333333333,7.0,7.5,6.142857142857143,8.0,9.333333333333334
FEDXB01,F,2.0,6.666666666666667,6.5,7.5,6.0,8.0,6.5,7.5
FEDXB02,F,2.0,6.142857142857143,6.75,6.0,6.285714285714286,6.6,6.142857142857143,6.75
FEDXB03,F,2.0,7.0,7.0,6.25,6.333333333333333,7.0,0.0,6.4
FEDXB04,F,2.0,6.888888888888889,7.933333333333334,7.333333333333333,8.363636363636363,7.428571428571429,7.0,7.363636363636363
FEDXB05,F,2.0,6.545454545454546,6.333333333333333,6.4,6.333333333333333,6.166666666666667,8.333333333333334,7.333333333333333
FEDXB06,F,2.0,12.0,7.9,7.125,7.0,7.133333333333334,7.3478260869565215,7.4
FEDXB07,F,1.0,7.769230769230769,6.545454545454546,7.7,6.888888888888889,6.636363636363637,7.666666666666667,7.583333333333333
FEDXB08,F,1.0,7.571428571428571,7.857142857142857,8.0,7.636363636363637,7.615384615384615,7.3125,7.9411764705882355
FEDXB10,F,1.0,8.0,9.0,6.25,9.0,8.2,6.833333333333333,7.444444444444445
FEDXB11,F,1.0,6.5,6.0,6.0,6.666666666666667,6.333333333333333,6.666666666666667,8.5
FEDXB12,F,1.0,7.4,7.4,7.285714285714286,7.294117647058823,8.235294117647058,7.444444444444445,8.25
