mouse_id,sex,order,grain_mega_meal_freq_per_day_day1,grain_mega_meal_freq_per_day_day2,grain_mega_meal_freq_per_day_day3
FEDXA01,M,2.0,0.6666666666666666,0.5416666666666666,0.4583333333333333
FEDXA02,M,2.0,0.5416666666666666,0.2916666666666667,0.4166666666666667
FEDXA03,M,2.0,0.25,0.4166666666666667,0.375
FEDXA04,M,2.0,0.3333333333333333,0.375,0.375
FEDXA05,M,2.0,0.625,0.75,0.6666666666666666
FEDXA06,M,2.0,0.375,0.9166666666666666,0.0
FEDXA07,M,1.0,0.625,0.7916666666666666,0.7083333333333334
FEDXA08,M,1.0,0.9166666666666666,0.7083333333333334,0.4583333333333333
FEDXA09,M,1.0,0.2916666666666667,0.125,0.5
FEDXA10,M,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666
FEDXA11,M,1.0,0.625,0.4583333333333333,0.7916666666666666
FEDXA12,M,1.0,0.4583333333333333,0.375,0.5
FEDXB01,F,2.0,0.4583333333333333,0.8333333333333334,0.7916666666666666
FEDXB02,F,2.0,0.08333333333333333,0.16666666666666666,0.4166666666666667
FEDXB03,F,2.0,0.041666666666666664,0.375,0.4583333333333333
FEDXB04,F,2.0,0.08333333333333333,0.4583333333333333,0.3333333333333333
FEDXB05,F,2.0,0.7916666666666666,0.3333333333333333,0.20833333333333334
FEDXB06,F,2.0,0.75,0.375,0.625
FEDXB07,F,1.0,0.75,0.5416666666666666,0.7083333333333334
FEDXB08,F,1.0,0.3333333333333333,0.8333333333333334,0.7083333333333334
FEDXB10,F,1.0,0.4166666666666667,0.375,0.2916666666666667
FEDXB11,F,1.0,0.4583333333333333,0.20833333333333334,0.4583333333333333
FEDXB12,F,1.0,0.7083333333333334,0.8333333333333334,0.8333333333333334
