mouse_id,sex,order,nr_meal_size_per_day_day1,nr_meal_size_per_day_day2,nr_meal_size_per_day_day3,nr_meal_size_per_day_day4,nr_meal_size_per_day_day5,nr_meal_size_per_day_day6,nr_meal_size_per_day_day7
FEDXA01,M,2.0,3.933333333333333,3.5833333333333335,3.2916666666666665,3.6666666666666665,3.9,3.727272727272727,3.727272727272727
FEDXA02,M,2.0,3.590909090909091,3.761904761904762,3.4210526315789473,3.0,3.75,3.9655172413793105,3.8947368421052633
FEDXA03,M,2.0,3.5833333333333335,4.148148148148148,4.071428571428571,3.8095238095238093,3.8260869565217392,3.903225806451613,4.045454545454546
FEDXA04,M,2.0,3.3684210526315788,3.388888888888889,4.04,3.6,4.0476190476190474,3.6206896551724137,4.125
FEDXA05,M,2.0,3.409090909090909,3.475,3.6666666666666665,3.65,3.526315789473684,3.4054054054054053,3.7666666666666666
FEDXA06,M,2.0,3.1463414634146343,3.1818181818181817,3.4545454545454546,3.2,3.5555555555555554,3.3125,3.097560975609756
FEDXA07,M,1.0,4.0,3.75,3.4516129032258065,3.6666666666666665,3.764705882352941,3.764705882352941,3.806451612903226
FEDXA08,M,1.0,3.1666666666666665,3.15,3.1463414634146343,3.3214285714285716,3.3529411764705883,3.7222222222222223,3.5
FEDXA09,M,1.0,3.484848484848485,3.5588235294117645,3.606060606060606,3.6451612903225805,3.8157894736842106,3.9375,3.4864864864864864
FEDXA10,M,1.0,3.46875,3.657142857142857,3.404255319148936,3.8529411764705883,3.76,3.625,3.6153846153846154
FEDXA11,M,1.0,3.5714285714285716,3.193548387096774,3.324324324324324,3.026315789473684,2.9473684210526314,3.1,3.2222222222222223
FEDXA12,M,1.0,3.53125,3.096774193548387,3.230769230769231,3.303030303030303,3.236842105263158,3.4186046511627906,3.4782608695652173
FEDXB01,F,2.0,3.064516129032258,3.3777777777777778,3.0,2.953488372093023,3.257142857142857,2.903225806451613,3.392156862745098
FEDXB02,F,2.0,3.4054054054054053,3.6052631578947367,3.4375,3.0294117647058822,3.4782608695652173,3.022727272727273,3.7777777777777777
FEDXB03,F,2.0,3.1,3.28125,3.1016949152542375,3.0416666666666665,3.020408163265306,3.4318181818181817,3.5833333333333335
FEDXB04,F,2.0,3.3181818181818183,3.413793103448276,3.71875,3.6956521739130435,3.8461538461538463,3.391304347826087,3.3043478260869565
FEDXB05,F,2.0,3.8536585365853657,3.5869565217391304,3.36,4.0,3.34375,3.1020408163265305,3.1666666666666665
FEDXB06,F,2.0,3.28,3.3,3.558139534883721,3.6666666666666665,3.388888888888889,3.238095238095238,3.8461538461538463
FEDXB07,F,1.0,3.4074074074074074,3.4375,3.7096774193548385,3.361111111111111,3.4285714285714284,3.4,3.4
FEDXB08,F,1.0,3.526315789473684,3.8823529411764706,3.576923076923077,3.857142857142857,4.2,3.6956521739130435,3.727272727272727
FEDXB10,F,1.0,2.975,2.738095238095238,2.6984126984126986,2.9615384615384617,2.9444444444444446,2.8333333333333335,2.8333333333333335
FEDXB11,F,1.0,2.5952380952380953,2.317073170731707,2.4468085106382977,2.5454545454545454,2.7674418604651163,2.7435897435897436,2.6511627906976742
FEDXB12,F,1.0,3.3125,3.4761904761904763,3.45,3.642857142857143,3.6,3.4285714285714284,4.125
