mouse_id,sex,order,nr_snack_freq_per_day_day1,nr_snack_freq_per_day_day2,nr_snack_freq_per_day_day3,nr_snack_freq_per_day_day4,nr_snack_freq_per_day_day5,nr_snack_freq_per_day_day6,nr_snack_freq_per_day_day7
FEDXA01,M,2.0,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.7916666666666666,0.75,0.5,0.5416666666666666
FEDXA02,M,2.0,0.5416666666666666,0.7083333333333334,0.6666666666666666,0.5416666666666666,0.6666666666666666,0.5,0.5
FEDXA03,M,2.0,0.3333333333333333,0.4166666666666667,0.625,0.5,0.5,0.2916666666666667,0.4583333333333333
FEDXA04,M,2.0,0.625,0.7083333333333334,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.375,0.25
FEDXA05,M,2.0,0.5416666666666666,1.0416666666666667,0.4166666666666667,0.5416666666666666,0.5416666666666666,0.20833333333333334,0.3333333333333333
FEDXA06,M,2.0,1.0416666666666667,0.7083333333333334,0.4166666666666667,0.625,0.5416666666666666,0.4583333333333333,0.75
FEDXA07,M,1.0,0.2916666666666667,0.20833333333333334,0.3333333333333333,0.16666666666666666,0.2916666666666667,0.375,0.125
FEDXA08,M,1.0,0.5416666666666666,0.8333333333333334,0.9166666666666666,0.25,0.375,0.4166666666666667,0.4583333333333333
FEDXA09,M,1.0,0.375,0.20833333333333334,0.125,0.375,0.5,0.20833333333333334,0.7916666666666666
FEDXA10,M,1.0,0.9583333333333334,0.125,0.375,0.5,0.25,0.2916666666666667,0.3333333333333333
FEDXA11,M,1.0,0.3333333333333333,0.7916666666666666,0.7916666666666666,1.2083333333333333,1.2083333333333333,1.25,1.2083333333333333
FEDXA12,M,1.0,0.7916666666666666,0.9583333333333334,0.875,0.7083333333333334,0.8333333333333334,0.9583333333333334,1.0
FEDXB01,F,2.0,0.5416666666666666,0.75,0.2916666666666667,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.5
FEDXB02,F,2.0,0.5,0.2916666666666667,0.375,0.041666666666666664,0.125,0.375,0.20833333333333334
FEDXB03,F,2.0,0.9166666666666666,0.7916666666666666,0.7916666666666666,0.8333333333333334,1.0,0.4583333333333333,0.25
FEDXB04,F,2.0,0.5,0.5,0.4583333333333333,0.20833333333333334,0.25,0.25,0.3333333333333333
FEDXB05,F,2.0,0.20833333333333334,0.375,0.2916666666666667,0.4166666666666667,0.5833333333333334,1.2083333333333333,0.9583333333333334
FEDXB06,F,2.0,0.75,1.0833333333333333,0.8333333333333334,0.5,0.4583333333333333,0.6666666666666666,0.375
FEDXB07,F,1.0,0.3333333333333333,0.08333333333333333,0.75,0.5,0.25,0.7916666666666666,0.5
FEDXB08,F,1.0,0.041666666666666664,0.125,0.08333333333333333,0.20833333333333334,0.2916666666666667,0.2916666666666667,0.08333333333333333
FEDXB10,F,1.0,0.5416666666666666,1.2916666666666667,1.2916666666666667,1.5833333333333333,1.3333333333333333,1.7083333333333333,0.7916666666666666
FEDXB11,F,1.0,1.375,2.3333333333333335,2.1666666666666665,2.0833333333333335,1.5,1.6666666666666667,1.4166666666666667
FEDXB12,F,1.0,0.125,0.08333333333333333,0.2916666666666667,0.08333333333333333,0.25,0.0,0.0
