mouse_id,sex,order,grain_meal_size_per_day_day1,grain_meal_size_per_day_day2,grain_meal_size_per_day_day3
FEDXA01,M,2.0,3.122448979591837,3.3870967741935485,3.2413793103448274
FEDXA02,M,2.0,3.269230769230769,3.0714285714285716,3.4482758620689653
FEDXA03,M,2.0,2.8653846153846154,3.325,3.2857142857142856
FEDXA04,M,2.0,2.689655172413793,3.021276595744681,3.4814814814814814
FEDXA05,M,2.0,2.9166666666666665,3.8461538461538463,3.7857142857142856
FEDXA06,M,2.0,2.55,2.9375,3.0
FEDXA07,M,1.0,3.3714285714285714,3.5652173913043477,3.4615384615384617
FEDXA08,M,1.0,2.903225806451613,3.75,3.5172413793103448
FEDXA09,M,1.0,2.9705882352941178,3.282608695652174,3.4
FEDXA10,M,1.0,3.057142857142857,4.0,3.6956521739130435
FEDXA11,M,1.0,3.088888888888889,3.4242424242424243,3.3333333333333335
FEDXA12,M,1.0,3.0,3.34375,3.21875
FEDXB01,F,2.0,2.870967741935484,3.1538461538461537,3.6363636363636362
FEDXB02,F,2.0,2.807017543859649,3.0652173913043477,3.1
FEDXB03,F,2.0,2.8095238095238093,3.0476190476190474,3.4838709677419355
FEDXB04,F,2.0,3.0,3.375,2.9696969696969697
FEDXB05,F,2.0,3.1578947368421053,3.361111111111111,3.7058823529411766
FEDXB06,F,2.0,3.75,3.5,3.8
FEDXB07,F,1.0,2.973684210526316,3.3333333333333335,3.8076923076923075
FEDXB08,F,1.0,3.260869565217391,3.8461538461538463,4.6
FEDXB10,F,1.0,3.0625,3.1621621621621623,3.3181818181818183
FEDXB11,F,1.0,3.6153846153846154,3.1,3.0714285714285716
FEDXB12,F,1.0,2.9166666666666665,3.1333333333333333,3.8333333333333335
