mouse_id,sex,order,pr_snack_freq_per_day_day1,pr_snack_freq_per_day_day2,pr_snack_freq_per_day_day3,pr_snack_freq_per_day_day4,pr_snack_freq_per_day_day5,pr_snack_freq_per_day_day6,pr_snack_freq_per_day_day7
FEDXA01,M,2.0,1.3333333333333333,1.9583333333333333,2.2083333333333335,2.5833333333333335,1.2083333333333333,1.0833333333333333,0.5416666666666666
FEDXA02,M,2.0,0.4583333333333333,1.0416666666666667,1.375,1.375,0.9166666666666666,0.6666666666666666,0.7083333333333334
FEDXA03,M,2.0,0.75,1.75,1.7916666666666667,1.2083333333333333,1.0416666666666667,1.0833333333333333,1.125
FEDXA04,M,2.0,1.125,1.625,1.5,1.2083333333333333,1.5,0.7916666666666666,0.75
FEDXA05,M,2.0,0.5833333333333334,1.0416666666666667,1.0833333333333333,1.2916666666666667,1.5833333333333333,1.5416666666666667,1.0833333333333333
FEDXA06,M,2.0,1.2083333333333333,1.5,1.75,2.2083333333333335,2.875,2.0,1.5
FEDXA07,M,1.0,0.16666666666666666,0.20833333333333334,0.7083333333333334,0.4166666666666667,0.5,0.2916666666666667,0.25
FEDXA08,M,1.0,0.4166666666666667,0.4166666666666667,0.5,0.6666666666666666,0.4583333333333333,0.5833333333333334,0.4583333333333333
FEDXA09,M,1.0,0.25,0.75,0.8333333333333334,1.0,0.8333333333333334,0.75,0.4583333333333333
FEDXA10,M,1.0,0.375,0.25,0.4166666666666667,0.75,0.6666666666666666,0.5,0.375
FEDXA11,M,1.0,1.0833333333333333,1.0416666666666667,1.4583333333333333,1.5416666666666667,1.9166666666666667,1.625,1.5416666666666667
FEDXA12,M,1.0,0.5416666666666666,0.875,1.2916666666666667,1.125,0.875,0.625,0.625
FEDXB01,F,2.0,0.6666666666666666,1.0,1.3333333333333333,1.4583333333333333,1.4166666666666667,1.7083333333333333,1.0833333333333333
FEDXB02,F,2.0,1.5,2.5416666666666665,2.9166666666666665,0.9166666666666666,1.125,0.875,0.7083333333333334
FEDXB03,F,2.0,0.9583333333333334,1.2916666666666667,1.8333333333333333,2.0416666666666665,1.375,1.1666666666666667,1.25
FEDXB04,F,2.0,1.4583333333333333,2.2083333333333335,2.2916666666666665,1.875,1.75,1.3333333333333333,0.75
FEDXB05,F,2.0,1.2083333333333333,2.2083333333333335,1.25,1.4583333333333333,1.0833333333333333,0.75,0.9583333333333334
FEDXB06,F,2.0,0.9166666666666666,0.6666666666666666,1.0416666666666667,1.5,1.0,0.5416666666666666,0.9166666666666666
FEDXB07,F,1.0,0.375,0.9166666666666666,0.75,0.75,0.875,1.2083333333333333,0.625
FEDXB08,F,1.0,0.625,0.4583333333333333,0.16666666666666666,0.25,0.16666666666666666,0.375,0.3333333333333333
FEDXB10,F,1.0,1.0,1.0416666666666667,1.2916666666666667,1.4166666666666667,1.2083333333333333,1.4166666666666667,1.9583333333333333
FEDXB11,F,1.0,1.75,2.7916666666666665,1.5833333333333333,1.6666666666666667,1.5833333333333333,1.7083333333333333,2.125
FEDXB12,F,1.0,0.3333333333333333,0.125,0.20833333333333334,0.08333333333333333,0.2916666666666667,0.125,0.25
