Unnamed: 0,contrast,estimate,SE,df,t.ratio,p.value,Significance,Test Details
57,pr F order2 - nr F order2,76.1666666666667,20.4001347318106,19,3.73363547192155,0.046662470258792,*,"t(19) = 3.734, p = 4.666e-02"
58,pr F order2 - grain M order2,220.0,34.0790060736923,19,6.45558733503767,0.0001669734832249,***,"t(19) = 6.456, p = 1.670e-04"
59,pr F order2 - pr M order2,13.1666666666666,45.1254327221643,19,0.291779288804461,0.999999977852531,,"t(19) = 0.292, p = 1.000e+00"
60,pr F order2 - nr M order2,166.666666666667,43.1664329736951,19,3.86102476357568,0.0361684671644031,*,"t(19) = 3.861, p = 3.617e-02"
61,nr F order2 - grain M order2,143.833333333333,31.4390666572769,19,4.57498738436758,0.0082750088897592,**,"t(19) = 4.575, p = 8.275e-03"
62,nr F order2 - pr M order2,-63.0000000000001,43.1664329736951,19,-1.45946736063161,0.934778213871873,,"t(19) = -1.459, p = 9.348e-01"
63,nr F order2 - nr M order2,90.5,41.1141969760137,19,2.20118612684563,0.567013548534798,,"t(19) = 2.201, p = 5.670e-01"
64,grain M order2 - pr M order2,-206.833333333333,30.2173365288965,19,-6.84485653245913,7.70863942469724e-05,***,"t(19) = -6.845, p = 7.709e-05"
65,grain M order2 - nr M order2,-53.3333333333333,28.6540618963158,19,-1.86128352504853,0.767600110250148,,"t(19) = -1.861, p = 7.676e-01"
66,pr M order2 - nr M order2,153.5,20.4001347318106,19,7.52446010862089,2.0839054707178e-05,***,"t(19) = 7.524, p = 2.084e-05"
