Unnamed: 0,contrast,estimate,SE,df,t.ratio,p.value,Significance,Test Details
271,NR1 F Order1 - PR3 F Order1,-5.4,20.72193515,19,-0.260593422,1.0,,"t(19) = -0.261, p = 1.000e+00"
272,NR1 F Order1 - PR4 F Order1,-11.6,18.99317514,19,-0.610745698,1.0,,"t(19) = -0.611, p = 1.000e+00"
273,NR1 F Order1 - PR5 F Order1,-43.6,22.28283896,19,-1.956662707,0.997293613,,"t(19) = -1.957, p = 9.973e-01"
274,NR1 F Order1 - PR6 F Order1,-39.4,18.05441094,19,-2.182292191,0.986097215,,"t(19) = -2.182, p = 9.861e-01"
275,NR1 F Order1 - G0 M Order1,-90.56666667,30.93783713,19,-2.927375508,0.759218653,,"t(19) = -2.927, p = 7.592e-01"
276,NR1 F Order1 - G1 M Order1,-53.56666667,22.28372469,19,-2.403847086,0.955064661,,"t(19) = -2.404, p = 9.551e-01"
277,NR1 F Order1 - G2 M Order1,-30.23333333,26.36444531,19,-1.146746422,1.0,,"t(19) = -1.147, p = 1.000e+00"
278,NR1 F Order1 - NR0 M Order1,1.6,22.61081354,19,0.070762602,1.0,,"t(19) = 0.071, p = 1.000e+00"
279,NR1 F Order1 - NR1 M Order1,-6.066666667,23.62154211,19,-0.256827714,1.0,,"t(19) = -0.257, p = 1.000e+00"
280,NR1 F Order1 - NR2 M Order1,-13.23333333,20.89230391,19,-0.633407086,1.0,,"t(19) = -0.633, p = 1.000e+00"
281,NR1 F Order1 - NR3 M Order1,-6.4,21.27088722,19,-0.300880726,1.0,,"t(19) = -0.301, p = 1.000e+00"
282,NR1 F Order1 - NR4 M Order1,-7.733333333,21.29273961,19,-0.363191091,1.0,,"t(19) = -0.363, p = 1.000e+00"
283,NR1 F Order1 - NR5 M Order1,-15.9,22.67902269,19,-0.701088412,1.0,,"t(19) = -0.701, p = 1.000e+00"
284,NR1 F Order1 - NR6 M Order1,-14.06666667,21.1780961,19,-0.664208274,1.0,,"t(19) = -0.664, p = 1.000e+00"
285,NR1 F Order1 - PR0 M Order1,32.1,21.16915443,19,1.516357212,0.999985732,,"t(19) = 1.516, p = 1.000e+00"
286,NR1 F Order1 - PR1 M Order1,17.1,22.66622291,19,0.754426535,1.0,,"t(19) = 0.754, p = 1.000e+00"
287,NR1 F Order1 - PR2 M Order1,-15.23333333,22.63673333,19,-0.67294751,1.0,,"t(19) = -0.673, p = 1.000e+00"
288,NR1 F Order1 - PR3 M Order1,-23.56666667,22.37039475,19,-1.053475673,1.0,,"t(19) = -1.053, p = 1.000e+00"
289,NR1 F Order1 - PR4 M Order1,-30.9,23.06699625,19,-1.339576236,0.999999484,,"t(19) = -1.340, p = 1.000e+00"
290,NR1 F Order1 - PR5 M Order1,-28.06666667,22.79831609,19,-1.231085075,1.0,,"t(19) = -1.231, p = 1.000e+00"
291,NR1 F Order1 - PR6 M Order1,-18.56666667,22.59671352,19,-0.821653408,1.0,,"t(19) = -0.822, p = 1.000e+00"
292,NR1 F Order1 - G0 F Order2,-37.9,30.93783713,19,-1.225037156,1.0,,"t(19) = -1.225, p = 1.000e+00"
293,NR1 F Order1 - G1 F Order2,-41.73333333,22.28372469,19,-1.872816772,0.998728681,,"t(19) = -1.873, p = 9.987e-01"
294,NR1 F Order1 - G2 F Order2,-23.4,26.36444531,19,-0.887558973,1.0,,"t(19) = -0.888, p = 1.000e+00"
295,NR1 F Order1 - NR0 F Order2,-31.23333333,22.61081354,19,-1.38134496,0.999998768,,"t(19) = -1.381, p = 1.000e+00"
296,NR1 F Order1 - NR1 F Order2,-56.4,23.62154211,19,-2.387651058,0.958270444,,"t(19) = -2.388, p = 9.583e-01"
297,NR1 F Order1 - NR2 F Order2,-19.4,20.89230391,19,-0.928571597,1.0,,"t(19) = -0.929, p = 1.000e+00"
298,NR1 F Order1 - NR3 F Order2,-3.4,21.27088722,19,-0.159842886,1.0,,"t(19) = -0.160, p = 1.000e+00"
299,NR1 F Order1 - NR4 F Order2,12.43333333,21.29273961,19,0.583923608,1.0,,"t(19) = 0.584, p = 1.000e+00"
300,NR1 F Order1 - NR5 F Order2,-37.9,22.67902269,19,-1.67114785,0.99986526,,"t(19) = -1.671, p = 9.999e-01"
301,NR1 F Order1 - NR6 F Order2,-34.73333333,21.1780961,19,-1.640059294,0.999910551,,"t(19) = -1.640, p = 9.999e-01"
302,NR1 F Order1 - PR0 F Order2,43.6,21.16915443,19,2.05960045,0.993905988,,"t(19) = 2.060, p = 9.939e-01"
303,NR1 F Order1 - PR1 F Order2,17.76666667,22.66622291,19,0.783838875,1.0,,"t(19) = 0.784, p = 1.000e+00"
304,NR1 F Order1 - PR2 F Order2,-39.4,22.63673333,19,-1.740533823,0.999685213,,"t(19) = -1.741, p = 9.997e-01"
305,NR1 F Order1 - PR3 F Order2,-20.06666667,22.37039475,19,-0.89701889,1.0,,"t(19) = -0.897, p = 1.000e+00"
306,NR1 F Order1 - PR4 F Order2,-33.9,23.06699625,19,-1.469632181,0.999993522,,"t(19) = -1.470, p = 1.000e+00"
307,NR1 F Order1 - PR5 F Order2,-50.06666667,22.79831609,19,-2.196068625,0.984878581,,"t(19) = -2.196, p = 9.849e-01"
308,NR1 F Order1 - PR6 F Order2,-12.56666667,22.59671352,19,-0.556128069,1.0,,"t(19) = -0.556, p = 1.000e+00"
309,NR1 F Order1 - G0 M Order2,-87.9,30.93783713,19,-2.841181161,0.802680118,,"t(19) = -2.841, p = 8.027e-01"
310,NR1 F Order1 - G1 M Order2,-79.73333333,22.28372469,19,-3.578097219,0.398419918,,"t(19) = -3.578, p = 3.984e-01"
311,NR1 F Order1 - G2 M Order2,5.1,26.36444531,19,0.19344234,1.0,,"t(19) = 0.193, p = 1.000e+00"
312,NR1 F Order1 - NR0 M Order2,-86.9,22.61081354,19,-3.843293823,0.27841571,,"t(19) = -3.843, p = 2.784e-01"
313,NR1 F Order1 - NR1 M Order2,-67.23333333,23.62154211,19,-2.846271976,0.80020964,,"t(19) = -2.846, p = 8.002e-01"
314,NR1 F Order1 - NR2 M Order2,-47.4,20.89230391,19,-2.268778025,0.977042142,,"t(19) = -2.269, p = 9.770e-01"
315,NR1 F Order1 - NR3 M Order2,-43.73333333,21.27088722,19,-2.056018297,0.994064143,,"t(19) = -2.056, p = 9.941e-01"
316,NR1 F Order1 - NR4 M Order2,-42.4,21.29273961,19,-1.991289086,0.996395969,,"t(19) = -1.991, p = 9.964e-01"
317,NR1 F Order1 - NR5 M Order2,-30.9,22.67902269,19,-1.362492574,0.999999162,,"t(19) = -1.362, p = 1.000e+00"
