Unnamed: 0,contrast,estimate,SE,df,t.ratio,p.value,Significance,Test Details
1,grain F order1 - pr F order1,-115.2,31.398759613449,19,-3.66893474195256,0.0530290436509214,,"t(19) = -3.669, p = 5.303e-02"
2,grain F order1 - nr F order1,-86.6,28.3182787662086,19,-3.058095469536,0.165479567436833,,"t(19) = -3.058, p = 1.655e-01"
3,grain F order1 - grain M order1,-8.2,11.6533733790311,19,-0.703658909166589,0.999814712082585,,"t(19) = -0.704, p = 9.998e-01"
4,grain F order1 - pr M order1,-84.5333333333333,31.0333521774304,19,-2.72395108494956,0.285620432520168,,"t(19) = -2.724, p = 2.856e-01"
5,grain F order1 - nr M order1,-55.8666666666667,27.1747205799157,19,-2.05583223946585,0.655335341864964,,"t(19) = -2.056, p = 6.553e-01"
6,grain F order1 - grain F order2,-3.86666666666667,11.6533733790311,19,-0.331806640094814,0.999999912594052,,"t(19) = -0.332, p = 1.000e+00"
7,grain F order1 - pr F order2,-181.533333333333,31.0333521774304,19,-5.84962050813696,0.0005733683002675,***,"t(19) = -5.850, p = 5.734e-04"
8,grain F order1 - nr F order2,-47.3666666666667,27.1747205799157,19,-1.74304153477385,0.827950324497777,,"t(19) = -1.743, p = 8.280e-01"
9,grain F order1 - grain M order2,-22.0333333333334,11.6533733790311,19,-1.89072576812649,0.751461284408565,,"t(19) = -1.891, p = 7.515e-01"
10,grain F order1 - pr M order2,-181.366666666667,31.0333521774304,19,-5.84424994211774,0.0005797569323644,***,"t(19) = -5.844, p = 5.798e-04"
11,grain F order1 - nr M order2,-52.8666666666667,27.1747205799157,19,-1.94543552016279,0.720528069210292,,"t(19) = -1.945, p = 7.205e-01"
12,pr F order1 - nr F order1,28.6,19.3920403276751,19,1.47483191643243,0.930514479379676,,"t(19) = 1.475, p = 9.305e-01"
13,pr F order1 - grain M order1,107.0,33.5934891700741,19,3.1851410092679,0.132265426102722,,"t(19) = 3.185, p = 1.323e-01"
14,pr F order1 - pr M order1,30.6666666666667,44.2243185462161,19,0.693434464900094,0.999838791662753,,"t(19) = 0.693, p = 9.998e-01"
15,pr F order1 - nr M order1,59.3333333333333,41.6075334777882,19,1.42602380804447,0.943456744624218,,"t(19) = 1.426, p = 9.435e-01"
16,pr F order1 - grain F order2,111.333333333333,33.5934891700741,19,3.31413425886442,0.104551781588715,,"t(19) = 3.314, p = 1.046e-01"
17,pr F order1 - pr F order2,-66.3333333333333,44.2243185462161,19,-1.49992889690346,0.923170750155069,,"t(19) = -1.500, p = 9.232e-01"
18,pr F order1 - nr F order2,67.8333333333334,41.6075334777882,19,1.63031373560141,0.877405118933836,,"t(19) = 1.630, p = 8.774e-01"
19,pr F order1 - grain M order2,93.1666666666667,33.5934891700741,19,2.77335486632517,0.264662339973074,,"t(19) = 2.773, p = 2.647e-01"
20,pr F order1 - pr M order2,-66.1666666666667,44.2243185462161,19,-1.49616023133336,0.924303661972876,,"t(19) = -1.496, p = 9.243e-01"
21,pr F order1 - nr M order2,62.3333333333333,41.6075334777882,19,1.49812613541751,0.923714016799206,,"t(19) = 1.498, p = 9.237e-01"
22,nr F order1 - grain M order1,78.4,29.308672847701,19,2.67497612080206,0.30750636381779,,"t(19) = 2.675, p = 3.075e-01"
23,nr F order1 - pr M order1,2.06666666666665,41.06417100528,19,0.0503277337901432,1.0,,"t(19) = 0.050, p = 1.000e+00"
24,nr F order1 - nr M order1,30.7333333333333,38.2316966871593,19,0.803870505272542,0.999361142178547,,"t(19) = 0.804, p = 9.994e-01"
25,nr F order1 - grain F order2,82.7333333333333,29.308672847701,19,2.8228276921049,0.244806647777599,,"t(19) = 2.823, p = 2.448e-01"
26,nr F order1 - pr F order2,-94.9333333333334,41.06417100528,19,-2.3118288037795,0.500566251550222,,"t(19) = -2.312, p = 5.006e-01"
27,nr F order1 - nr F order2,39.2333333333333,38.2316966871593,19,1.02619911573295,0.994751244709168,,"t(19) = 1.026, p = 9.948e-01"
28,nr F order1 - grain M order2,64.5666666666666,29.308672847701,19,2.20298841241224,0.565918817037432,,"t(19) = 2.203, p = 5.659e-01"
29,nr F order1 - pr M order2,-94.7666666666667,41.06417100528,19,-2.30777011557062,0.502966667842334,,"t(19) = -2.308, p = 5.030e-01"
30,nr F order1 - nr M order2,33.7333333333333,38.2316966871593,19,0.882339426611511,0.998533189172503,,"t(19) = 0.882, p = 9.985e-01"
31,grain M order1 - pr M order1,-76.3333333333333,28.6630148632804,19,-2.66312994977798,0.31296457880238,,"t(19) = -2.663, p = 3.130e-01"
32,grain M order1 - nr M order1,-47.6666666666667,25.8509334499534,19,-1.84390504733409,0.776937848874021,,"t(19) = -1.844, p = 7.769e-01"
33,grain M order1 - grain F order2,4.33333333333334,11.1110555554167,19,0.390001950014625,0.999999517388862,,"t(19) = 0.390, p = 1.000e+00"
34,grain M order1 - pr F order2,-173.333333333333,30.8338027465453,19,-5.62153603816363,0.0009196964470158,***,"t(19) = -5.622, p = 9.197e-04"
35,grain M order1 - nr F order2,-39.1666666666667,26.946611717263,19,-1.45349133603966,0.936389287116725,,"t(19) = -1.453, p = 9.364e-01"
36,grain M order1 - grain M order2,-13.8333333333334,11.1110555554167,19,-1.24500622504669,0.977132908543396,,"t(19) = -1.245, p = 9.771e-01"
37,grain M order1 - pr M order2,-173.166666666667,30.8338027465453,19,-5.61613071505002,0.0009300950004186,***,"t(19) = -5.616, p = 9.301e-04"
38,grain M order1 - nr M order2,-44.6666666666667,26.946611717263,19,-1.65759863003672,0.866240124649025,,"t(19) = -1.658, p = 8.662e-01"
39,pr M order1 - nr M order1,28.6666666666667,17.7024298725292,19,1.61936337966529,0.881734956274921,,"t(19) = 1.619, p = 8.817e-01"
40,pr M order1 - grain F order2,80.6666666666667,30.8338027465453,19,2.61617638699154,0.33521886143944,,"t(19) = 2.616, p = 3.352e-01"
41,pr M order1 - pr F order2,-97.0,42.1662332686971,19,-2.3004189011118,0.507323273138375,,"t(19) = -2.300, p = 5.073e-01"
42,pr M order1 - nr F order2,37.1666666666667,39.4130399651974,19,0.94300431277277,0.99739791410822,,"t(19) = 0.943, p = 9.974e-01"
43,pr M order1 - grain M order2,62.5,30.8338027465453,19,2.02699616760708,0.672633165694319,,"t(19) = 2.027, p = 6.726e-01"
44,pr M order1 - pr M order2,-96.8333333333334,42.1662332686971,19,-2.29646629131608,0.509670345152958,,"t(19) = -2.296, p = 5.097e-01"
45,pr M order1 - nr M order2,31.6666666666667,39.4130399651974,19,0.803456589357966,0.999364125623724,,"t(19) = 0.803, p = 9.994e-01"
46,nr M order1 - grain F order2,52.0,26.946611717263,19,1.92974168869947,0.729515836539249,,"t(19) = 1.930, p = 7.295e-01"
47,nr M order1 - pr F order2,-125.666666666667,39.4130399651974,19,-3.18845404408372,0.131481211002732,,"t(19) = -3.188, p = 1.315e-01"
48,nr M order1 - nr F order2,8.50000000000001,36.452492514591,19,0.233180213852253,0.999999998020539,,"t(19) = 0.233, p = 1.000e+00"
49,nr M order1 - grain M order2,33.8333333333333,26.946611717263,19,1.25556911155767,0.9757275580469,,"t(19) = 1.256, p = 9.757e-01"
50,nr M order1 - pr M order2,-125.5,39.4130399651974,19,-3.18422532519236,0.132482879045055,,"t(19) = -3.184, p = 1.325e-01"
51,nr M order1 - nr M order2,3.0,36.4524925145911,19,0.0822988990066776,1.0,,"t(19) = 0.082, p = 1.000e+00"
52,grain F order2 - pr F order2,-177.666666666667,28.6630148632804,19,-6.19846403157931,0.000280643685778,***,"t(19) = -6.198, p = 2.806e-04"
53,grain F order2 - nr F order2,-43.5,25.8509334499534,19,-1.68272453620349,0.855492813936503,,"t(19) = -1.683, p = 8.555e-01"
54,grain F order2 - grain M order2,-18.1666666666667,11.1110555554167,19,-1.63500817506131,0.87552224428703,,"t(19) = -1.635, p = 8.755e-01"
55,grain F order2 - pr M order2,-177.5,30.8338027465453,19,-5.75666911600411,0.0006948019291278,***,"t(19) = -5.757, p = 6.948e-04"
56,grain F order2 - nr M order2,-49.0,26.946611717263,19,-1.81841043742834,0.790363881018253,,"t(19) = -1.818, p = 7.904e-01"
57,pr F order2 - nr F order2,134.166666666667,17.7024298725292,19,7.57899721296838,1.88068244861839e-05,***,"t(19) = 7.579, p = 1.881e-05"
58,pr F order2 - grain M order2,159.5,30.8338027465453,19,5.17289421973327,0.0023513647532822,**,"t(19) = 5.173, p = 2.351e-03"
59,pr F order2 - pr M order2,0.166666666666636,42.1662332686971,19,0.003952609795724,1.0,,"t(19) = 0.004, p = 1.000e+00"
60,pr F order2 - nr M order2,128.666666666667,39.4130399651974,19,3.26457098412815,0.114534406977063,,"t(19) = 3.265, p = 1.145e-01"
61,nr F order2 - grain M order2,25.3333333333333,26.946611717263,19,0.940130566289483,0.997464481704569,,"t(19) = 0.940, p = 9.975e-01"
62,nr F order2 - pr M order2,-134.0,39.4130399651974,19,-3.3998899886516,0.0890839818434267,,"t(19) = -3.400, p = 8.908e-02"
63,nr F order2 - nr M order2,-5.50000000000001,36.452492514591,19,-0.150881314845576,0.999999999982703,,"t(19) = -0.151, p = 1.000e+00"
64,grain M order2 - pr M order2,-159.333333333333,28.6630148632804,19,-5.55884766809552,0.0010479094770858,**,"t(19) = -5.559, p = 1.048e-03"
65,grain M order2 - nr M order2,-30.8333333333333,25.8509334499534,19,-1.19273578236646,0.983214416039726,,"t(19) = -1.193, p = 9.832e-01"
66,pr M order2 - nr M order2,128.5,17.7024298725292,19,7.25889049838338,3.45204360692186e-05,***,"t(19) = 7.259, p = 3.452e-05"
