,sex,hour,diet,term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif,order,mean_pellet_intake,sd_pellet_intake,Comparison,diet_comparison
0,F,0,NR,order,1,2,0,0.876190476190477,-1.92495299408858,3.67733394646953,0.497,ns,1,7.17142857142857,2.19321774606003,PR,No difference
1,F,0,PR,order,1,2,0,-2.83809523809524,-7.07853396074978,1.4023434845593,0.164,ns,1,10.3142857142857,4.36638364352573,PR,No difference
2,M,0,NR,order,1,2,0,0.166666666666668,-3.74221822003399,4.07555155336732,0.926,ns,1,6.59523809523809,3.0777896477255,NR,No difference
3,M,0,PR,order,1,2,0,1.57142857142857,-0.673822955846646,3.81668009870379,0.15,ns,1,6.04761904761905,1.42475681180653,NR,No difference
4,F,1,NR,order,1,2,0,0.566666666666667,-1.34580855929366,2.479141892627,0.52,ns,1,2.31428571428571,1.32248992126093,PR,No difference
5,F,1,PR,order,1,2,0,-0.90952380952381,-2.95736788302693,1.13832026397931,0.341,ns,1,2.88571428571429,1.62694154028662,PR,No difference
6,M,1,NR,order,1,2,0,-0.404761904761904,-2.97288698980004,2.16336318027623,0.733,ns,1,6.19047619047619,1.07158728983125,PR,No difference
7,M,1,PR,order,1,2,0,-0.404761904761903,-3.17653946771356,2.36701565818976,0.752,ns,1,6.90476190476191,2.57089941645406,PR,No difference
8,F,2,NR,order,1,2,0,0.138095238095237,-2.71385203302174,2.99004250921221,0.915,ns,1,5.6,2.11505777409391,PR,No difference
9,F,2,PR,order,1,2,0,0.828571428571429,-2.16115567578534,3.8182985329282,0.546,ns,1,6.17142857142857,1.85549377332751,PR,No difference
10,M,2,NR,order,1,2,0,2.92857142857143,-0.447818836140003,6.30496169328286,0.0821,ns,1,4.07142857142857,0.911379309013519,PR,No difference
11,M,2,PR,order,1,2,0,0.500000000000002,-2.20601322557097,3.20601322557097,0.689,ns,1,6.33333333333333,1.804001598865,PR,No difference
12,F,3,NR,order,1,2,0,1.86190476190476,-1.4574856303636,5.18129515417312,0.236,ns,1,4.54285714285714,0.566046078747398,PR,No difference
13,F,3,PR,order,1,2,0,-1.72380952380952,-3.98578429164544,0.53816524402639,0.119,ns,1,6.34285714285714,1.16758952809729,PR,No difference
14,M,3,NR,order,1,2,0,0.738095238095239,-2.14906457844284,3.62525505463332,0.582,ns,1,7.23809523809524,1.82201204473419,NR,No difference
15,M,3,PR,order,1,2,0,0.0952380952380967,-1.13160397307761,1.32208016355381,0.866,ns,1,5.16666666666667,1.01586061500368,NR,No difference
16,F,4,NR,order,1,2,0,0.038095238095238,-3.70931514639063,3.78550562258111,0.982,ns,1,5.48571428571429,2.95648715987921,NR,No difference
17,F,4,PR,order,1,2,0,1.52380952380952,-0.368199669221214,3.41581871684026,0.102,ns,1,3.0,0.614451804788759,NR,No difference
18,M,4,NR,order,1,2,0,3.33333333333333,0.174062781681152,6.49260388498551,0.0406,*,1,4.66666666666667,1.48644670591441,NR,Order 2 more
19,M,4,PR,order,1,2,0,0.952380952380953,-1.41870460326191,3.32346650802382,0.392,ns,1,4.52380952380952,1.78580952126998,NR,No difference
20,F,5,NR,order,1,2,0,1.14285714285714,-2.13549700894059,4.42121129465488,0.451,ns,1,3.57142857142857,1.55182578445717,PR,No difference
21,F,5,PR,order,1,2,0,-1.36666666666667,-3.64130280230578,0.907969468972449,0.207,ns,1,4.34285714285714,2.15378167654107,PR,No difference
22,M,5,NR,order,1,2,0,3.5,1.58648615668812,5.41351384331188,0.00223,**,1,3.69047619047619,1.62735961598163,PR,Order 2 more
23,M,5,PR,order,1,2,0,0.0952380952380967,-1.8786555801304,2.0691317706066,0.917,ns,1,5.02380952380952,1.56339940100885,PR,No difference
24,F,6,NR,order,1,2,0,-1.16190476190476,-4.30111912505856,1.97730960124904,0.424,ns,1,4.54285714285714,2.23012766176179,NR,No difference
25,F,6,PR,order,1,2,0,-0.709523809523809,-2.84284702046999,1.42379940142237,0.471,ns,1,3.54285714285714,1.31475147026783,NR,No difference
26,M,6,NR,order,1,2,0,-0.166666666666665,-2.7282079301953,2.39487459686197,0.888,ns,1,3.21428571428571,1.15263672879682,PR,No difference
27,M,6,PR,order,1,2,0,-0.19047619047619,-2.63657834573263,2.25562596478025,0.866,ns,1,3.30952380952381,2.48163321249546,PR,No difference
28,F,7,NR,order,1,2,0,-0.204761904761904,-1.57306397010668,1.16354016058287,0.743,ns,1,2.8,0.982499935088537,NR,No difference
29,F,7,PR,order,1,2,0,0.395238095238095,-0.648490181421786,1.43896637189798,0.414,ns,1,1.48571428571429,0.901246302605,NR,No difference
30,M,7,NR,order,1,2,0,1.61904761904762,-0.336798322127467,3.5748935602227,0.0949,ns,1,2.19047619047619,1.38995423993585,PR,No difference
31,M,7,PR,order,1,2,0,0.0238095238095246,-1.77006496683304,1.81768401445209,0.977,ns,1,3.28571428571429,1.82499650544815,PR,No difference
32,F,8,NR,order,1,2,0,0.261904761904762,-2.51995765200781,3.04376717581733,0.836,ns,1,3.71428571428571,1.98720396332051,NR,No difference
33,F,8,PR,order,1,2,0,-0.423809523809524,-1.70141675728388,0.853797709664831,0.472,ns,1,2.82857142857143,0.810643483377778,NR,No difference
34,M,8,NR,order,1,2,0,-1.04761904761905,-2.79813880283631,0.702900707598217,0.212,ns,1,4.33333333333333,0.845958780617236,NR,No difference
35,M,8,PR,order,1,2,0,8.881784197001249e-16,-1.78617036195794,1.78617036195794,1.0,ns,1,3.38095238095238,1.31759417946829,NR,No difference
36,F,9,NR,order,1,2,0,-0.157142857142857,-1.13492191333152,0.820636199045808,0.725,ns,1,3.94285714285714,0.667006715995929,NR,No difference
37,F,9,PR,order,1,2,0,-0.385714285714286,-2.33855082509645,1.56712225366787,0.666,ns,1,3.88571428571429,1.42642696187047,NR,No difference
38,M,9,NR,order,1,2,0,-1.28571428571429,-2.64861722441653,0.0771886529879555,0.0619,ns,1,3.85714285714286,1.34922502321344,PR,No difference
39,M,9,PR,order,1,2,0,-0.357142857142858,-2.91692557501599,2.20263986073027,0.762,ns,1,4.38095238095238,1.67738052992661,PR,No difference
40,F,10,NR,order,1,2,0,-1.86666666666667,-5.6726597057357,1.93932637240236,0.296,ns,1,5.62857142857143,3.00271985549972,NR,No difference
41,F,10,PR,order,1,2,0,-1.10952380952381,-3.06859621589784,0.849548596850225,0.232,ns,1,4.08571428571429,1.76877681706071,NR,No difference
42,M,10,NR,order,1,2,0,-1.14285714285714,-2.72267057638705,0.436956290672761,0.138,ns,1,5.21428571428571,1.26732886378382,NR,No difference
43,M,10,PR,order,1,2,0,-0.380952380952381,-2.31072307268867,1.5488183107839,0.669,ns,1,4.90476190476191,1.40456011464311,NR,No difference
44,F,11,NR,order,1,2,0,-1.54285714285714,-5.38460470705955,2.29889042134526,0.387,ns,1,7.25714285714286,1.33783254496493,NR,No difference
45,F,11,PR,order,1,2,0,-0.890476190476191,-2.30465238815844,0.523700007206057,0.188,ns,1,5.91428571428571,1.0860901604999,NR,No difference
46,M,11,NR,order,1,2,0,0.166666666666668,-2.0125578822558,2.34589121558913,0.868,ns,1,6.52380952380952,1.28941267017724,PR,No difference
47,M,11,PR,order,1,2,0,-1.47619047619048,-3.11820016255213,0.165819210171179,0.073,ns,1,6.78571428571429,1.04099638298495,PR,No difference
48,F,12,NR,order,1,2,0,0.366666666666665,-4.21610517813661,4.94943851146994,0.86,ns,1,10.6571428571429,1.55379719213471,NR,No difference
49,F,12,PR,order,1,2,0,0.414285714285716,-3.15885799415918,3.98742942273061,0.799,ns,1,9.8,2.93917939401529,NR,No difference
50,M,12,NR,order,1,2,0,-0.476190476190474,-3.58336281525725,2.6309818628763,0.74,ns,1,9.66666666666667,1.02883594482334,NR,No difference
51,M,12,PR,order,1,2,0,0.380952380952383,-1.51853744961949,2.28044221152426,0.664,ns,1,9.35714285714286,1.65800470199476,NR,No difference
52,F,13,NR,order,1,2,0,5.03809523809523,1.7542082869992,8.32198218919127,0.00704,**,1,12.9142857142857,2.11071126419895,PR,Order 2 more
53,F,13,PR,order,1,2,0,2.31428571428571,-1.45591466533794,6.08448609390936,0.198,ns,1,13.6857142857143,3.41425582772335,PR,No difference
54,M,13,NR,order,1,2,0,5.95238095238095,2.81994956760562,9.08481233715628,0.00173,**,1,11.7619047619048,2.09502163384021,PR,Order 2 more
55,M,13,PR,order,1,2,0,0.142857142857142,-3.26448280307537,3.55019708878966,0.927,ns,1,14.547619047619,2.13315262840108,PR,No difference
56,F,14,NR,order,1,2,0,0.604761904761904,-1.72531472524058,2.93483853476439,0.572,ns,1,16.6571428571429,2.20064925484666,NR,No difference
57,F,14,PR,order,1,2,0,0.904761904761907,-2.28634085158578,4.09586466110959,0.537,ns,1,15.8571428571429,2.79394388794399,NR,No difference
58,M,14,NR,order,1,2,0,5.5,1.14019507074226,9.85980492925774,0.0184,*,1,16.0952380952381,1.2410221812771,PR,Order 2 more
59,M,14,PR,order,1,2,0,0.547619047619051,-2.53527422829137,3.63051232352948,0.701,ns,1,16.3333333333333,2.8003886999394,PR,No difference
60,F,15,NR,order,1,2,0,2.64285714285714,-1.54882101454513,6.83453530025942,0.188,ns,1,14.8571428571429,1.12485826771597,PR,No difference
61,F,15,PR,order,1,2,0,-1.08095238095238,-3.80813392577624,1.64622916387148,0.393,ns,1,17.7714285714286,2.82590061497468,PR,No difference
62,M,15,NR,order,1,2,0,3.11904761904762,-2.0615592327759,8.29965447087114,0.209,ns,1,16.8809523809524,3.0417726661243,NR,No difference
63,M,15,PR,order,1,2,0,2.52380952380953,-1.30042261733263,6.34804166495168,0.172,ns,1,14.8333333333333,3.36296354567275,NR,No difference
64,F,16,NR,order,1,2,0,1.84761904761905,-2.18420147271658,5.87943956795468,0.327,ns,1,15.3428571428571,2.54670655665593,NR,No difference
