"sex","order","hour","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"F","1","0","diet","NR","PR",0,3.14285714285715,-1.89622469209404,8.18193897780833,0.188,"ns"
"F","1","1","diet","NR","PR",0,0.571428571428571,-1.59079147948057,2.73364862233771,0.559,"ns"
"F","1","2","diet","NR","PR",0,0.571428571428571,-2.33016734048682,3.47302448334397,0.662,"ns"
"F","1","3","diet","NR","PR",0,1.8,0.46185241337793,3.13814758662207,0.0146,"*"
"F","1","4","diet","NR","PR",0,-2.48571428571429,-5.59982194802599,0.628393376597419,0.103,"ns"
"F","1","5","diet","NR","PR",0,0.771428571428572,-1.96620507633993,3.50906221919707,0.534,"ns"
"F","1","6","diet","NR","PR",0,-1,-3.66979930159436,1.66979930159436,0.413,"ns"
"F","1","7","diet","NR","PR",0,-1.31428571428571,-2.68923322282882,0.0606617942573895,0.0586,"ns"
"F","1","8","diet","NR","PR",0,-0.885714285714285,-3.09902721209127,1.3275986406627,0.383,"ns"
"F","1","9","diet","NR","PR",0,-0.0571428571428565,-1.68106491108387,1.56677919679816,0.937,"ns"
"F","1","10","diet","NR","PR",0,-1.54285714285714,-5.13680702063436,2.05109273492008,0.351,"ns"
"F","1","11","diet","NR","PR",0,-1.34285714285714,-3.11994351957556,0.43422923386127,0.12,"ns"
"F","1","12","diet","NR","PR",0,-0.857142857142856,-4.28573928818939,2.57145357390368,0.58,"ns"
"F","1","13","diet","NR","PR",0,0.771428571428578,-3.36812119438129,4.91097833723845,0.679,"ns"
"F","1","14","diet","NR","PR",0,-0.799999999999997,-4.46777618964327,2.86777618964328,0.629,"ns"
"F","1","15","diet","NR","PR",0,2.91428571428572,-0.222392015109522,6.05096344368095,0.0645,"ns"
"F","1","16","diet","NR","PR",0,-0.171428571428571,-4.50188738193794,4.1590302390808,0.93,"ns"
"F","1","17","diet","NR","PR",0,-0.485714285714284,-5.80882475366658,4.83739618223801,0.839,"ns"
