"","time_phase","order","mean_value","sd_value","n"
"1","NR0",1,25.2015151515151,4.27789833229053,11
"2","NR0",2,29.8097222222222,6.5154534960553,12
"3","NR1",1,31.1969696969697,8.77124030942355,11
"4","NR1",2,32.1430555555556,8.72162197156096,12
"5","NR2",1,32.2590909090909,7.51634649590242,11
"6","NR2",2,34.6319444444444,8.59570146958401,12
"7","NR3",1,33.3848484848485,7.73981572614926,11
"8","NR3",2,35.7319444444444,6.61053054279602,12
"9","NR4",1,36.6606060606061,9.83596651955147,11
"10","NR4",2,37.5986111111111,4.79284746101018,12
"11","NR5",1,37.55,7.75653846047892,11
"12","NR5",2,40.6916666666667,4.90497840273666,12
"13","NR6",1,37.0560606060606,8.45997528472641,11
"14","NR6",2,41.0472222222222,8.32258953889932,12
"15","PR0",1,32.4575757575757,3.87465671337018,11
"16","PR0",2,43.9652777777778,9.55657121833862,12
"17","PR1",1,30.4227272727273,6.73736790316709,11
"18","PR1",2,41.1333333333333,10.6217876902795,12
"19","PR2",1,29.2818181818182,3.80293347697577,11
"20","PR2",2,36.7569444444444,6.40889319906619,12
"21","PR3",1,29.3909090909091,4.54473666048224,11
"22","PR3",2,35.2763888888889,9.14679239006418,12
"23","PR4",1,33.3560606060606,8.74252465674174,11
"24","PR4",2,33.2875,9.46688306677545,12
"25","PR5",1,32.4909090909091,6.45020397453685,11
"26","PR5",2,36.9347222222222,9.79191446065138,12
"27","PR6",1,30.8060606060606,4.69748320751107,11
"28","PR6",2,37.8402777777778,8.80440792476834,12
