mouse_id,sex,order,G0,G1,G2,NR0,NR1,NR2,NR3,NR4,NR5,NR6,PR0,PR1,PR2,PR3,PR4,PR5,PR6
FEDXA01,M,2.0,47.33333333333325,41.866666666666625,33.23333333333333,29.78333333333334,35.11666666666666,29.133333333333322,38.216666666666654,40.13333333333333,41.51666666666665,49.766666666666666,47.48333333333329,42.53333333333332,36.99999999999997,32.69999999999999,42.549999999999976,39.266666666666666,39.76666666666665
FEDXA02,M,2.0,49.366666666666625,32.59999999999998,31.516666666666648,34.11666666666668,33.18333333333334,34.733333333333334,39.63333333333332,35.73333333333333,44.36666666666662,42.49999999999998,42.93333333333332,28.81666666666665,32.34999999999998,29.09999999999997,32.899999999999984,29.083333333333325,31.56666666666663
FEDXA03,M,2.0,27.93333333333332,35.583333333333314,23.433333333333323,27.81666666666667,33.10000000000001,26.199999999999996,45.08333333333332,40.249999999999964,37.08333333333333,46.816666666666656,66.61666666666659,60.583333333333336,45.14999999999995,52.45000000000003,42.716666666666654,39.61666666666665,37.53333333333331
FEDXA04,M,2.0,43.466666666666654,38.349999999999966,24.449999999999996,28.666666666666654,19.633333333333336,27.133333333333336,25.549999999999997,37.98333333333334,40.2,49.799999999999955,50.89999999999998,42.2333333333333,36.30000000000002,34.766666666666666,37.783333333333324,44.7666666666666,40.0
FEDXA05,M,2.0,43.083333333333314,48.03333333333324,38.333333333333286,34.03333333333333,31.83333333333332,33.68333333333331,32.91666666666665,40.31666666666666,39.68333333333332,43.78333333333332,47.249999999999986,40.51666666666665,47.48333333333327,50.58333333333332,45.95000000000001,46.65000000000001,36.61666666666667
FEDXA06,M,2.0,47.69999999999995,51.61666666666665,0.9833333333333334,37.033333333333324,26.43333333333333,24.016666666666666,28.150000000000006,26.283333333333335,34.150000000000006,35.60000000000001,34.33333333333333,32.08333333333332,29.04999999999999,30.58333333333333,26.66666666666666,25.63333333333331,26.19999999999999
FEDXA07,M,1.0,49.89999999999994,42.08333333333331,30.749999999999982,24.33333333333333,27.18333333333331,33.81666666666666,35.54999999999999,33.199999999999996,36.00000000000001,34.86666666666666,34.16666666666665,31.016666666666655,27.93333333333333,25.049999999999983,31.583333333333314,30.416666666666643,30.216666666666633
FEDXA08,M,1.0,55.099999999999945,41.88333333333324,34.19999999999997,25.93333333333332,28.799999999999997,31.08333333333333,27.283333333333335,36.11666666666667,28.850000000000005,33.08333333333333,31.166666666666654,28.8,33.54999999999997,24.06666666666664,32.433333333333316,32.24999999999999,28.39999999999998
FEDXA09,M,1.0,49.76666666666663,29.599999999999994,35.716666666666626,26.449999999999992,36.216666666666654,34.15,38.33333333333333,46.24999999999998,46.5833333333333,35.76666666666665,34.63333333333331,37.38333333333332,29.550000000000008,31.816666666666634,29.19999999999999,31.59999999999998,36.43333333333333
FEDXA10,M,1.0,29.716666666666672,38.516666666666616,29.866666666666635,24.299999999999997,29.483333333333327,29.56666666666666,28.76666666666666,34.21666666666665,32.56666666666668,34.56666666666666,26.866666666666667,32.99999999999998,27.433333333333323,28.116666666666635,29.99999999999999,27.399999999999984,24.933333333333334
FEDXA11,M,1.0,62.48333333333331,44.31666666666661,40.98333333333328,17.98333333333333,10.866666666666665,33.683333333333344,33.74999999999999,28.34999999999999,34.86666666666665,31.13333333333332,32.1,22.133333333333333,25.11666666666666,27.350000000000005,23.683333333333323,24.000000000000004,29.066666666666663
FEDXA12,M,1.0,43.0833333333333,38.549999999999955,34.46666666666666,24.63333333333333,34.866666666666646,35.29999999999997,39.183333333333344,43.566666666666656,35.68333333333333,38.51666666666664,35.6333333333333,34.98333333333329,35.35,34.51666666666666,29.716666666666654,36.949999999999974,35.883333333333304
FEDXB01,F,2.0,45.19999999999999,48.89999999999998,41.18333333333335,26.033333333333342,41.25,48.7,48.25000000000001,45.73333333333334,46.800000000000004,49.44999999999988,50.59999999999998,42.61666666666666,33.45,33.033333333333324,31.499999999999993,36.81666666666666,46.11666666666664
FEDXB02,F,2.0,29.133333333333326,27.066666666666666,33.76666666666666,42.13333333333334,51.666666666666664,50.36666666666664,32.83333333333334,35.71666666666666,37.46666666666666,36.70000000000001,35.78333333333332,35.85,26.616666666666646,28.849999999999977,22.866666666666667,32.849999999999994,37.23333333333333
