"","1.NR","2.NR","1.PR","Comparison"
"2.NR",0.714579792551182,NA,NA,"2.NR"
"1.PR",0.46436940881631,0.545031236633559,NA,"1.PR"
"2.PR",0.00745782928695291,0.0144571623123676,0.215908715557612,"2.PR"
