"","1.NR","2.NR","1.PR","Comparison"
"2.NR",0.274555954740315,NA,NA,"2.NR"
"1.PR",0.274555954740315,0.0413937028308287,NA,"1.PR"
"2.PR",0.00439388660294826,0.000112446179532455,0.144740699142306,"2.PR"
