"","Order","Diet_Phase","mean_total_parameters","sd_total_parameters","count"
"1",1,"NR",3.36907985165706,0.359932007675246,11
"2",1,"PR",3.19045597416589,0.333411141251047,11
"3",2,"NR",3.50033093049225,0.223977224894055,12
"4",2,"PR",2.95562241487483,0.151501243446959,12
