"Effect","df","MSE","F","pes","p.value"
"Order","1, 21","920.95","2.81",".118",".108"
"phase","1, 21","654.70","0.03",".001",".875"
"Order:phase","1, 21","654.70","3.17 +",".131",".090"
"day","2.39, 50.21","168.96","0.64",".030",".558"
"Order:day","2.39, 50.21","168.96","0.36",".017",".733"
"phase:day","1.95, 40.91","235.54","1.45",".065",".246"
"Order:phase:day","1.95, 40.91","235.54","0.70",".032",".500"
