"","F.1.NR","M.1.NR","F.2.NR","M.2.NR","F.1.PR","M.1.PR","F.2.PR","Comparison"
"M.1.NR",1,NA,NA,NA,NA,NA,NA,"M.1.NR"
"F.2.NR",1,1,NA,NA,NA,NA,NA,"F.2.NR"
"M.2.NR",1,1,0.259471151537144,NA,NA,NA,NA,"M.2.NR"
"F.1.PR",1,1,1,0.585205619682944,NA,NA,NA,"F.1.PR"
"M.1.PR",1,1,1,1,1,NA,NA,"M.1.PR"
"F.2.PR",0.287190329642506,1,1,0.0476136553691963,1,0.327774251469297,NA,"F.2.PR"
"M.2.PR",1,1,1,0.322388018197682,1,1,1,"M.2.PR"
