"","Factor","Sum.Sq","Df","F.value","Pr..F."
"sex","sex",0.888845177518455,1,4.6727394836954,0.0370094537269381
"order","order",0.511913285934248,1,2.6911744406281,0.109158444511078
"Diet_Phase","Diet_Phase",0.868102480658264,1,4.56369325037101,0.0391581515270156
"sex:order","sex:order",0.328578581270046,1,1.7273673177636,0.196625828031704
"sex:Diet_Phase","sex:Diet_Phase",0.00476137489630979,1,0.025030978439663,0.875127683188224
"order:Diet_Phase","order:Diet_Phase",0.227387871920365,1,1.19539860721549,0.281126077058098
"sex:order:Diet_Phase","sex:order:Diet_Phase",0.898897318075328,1,4.72558449569951,0.0360148101763495
"Residuals","Residuals",7.2283329433529,38,NA,NA
