Mouse,Sex,Order,G0,G1,G2,NR0,NR1,NR2,NR3,NR4,NR5,NR6,PR0,PR1,PR2,PR3,PR4,PR5,PR6
FEDXA01,M,2,47,30,28,14,24,24,21,20,11,11,37,33,36,27,30,34,25
FEDXA02,M,2,48,43,30,22,21,37,33,32,28,19,40,42,57,52,50,48,41
FEDXA03,M,2,55,37,34,24,27,27,20,22,30,21,41,33,44,56,61,59,53
FEDXA04,M,2,61,46,28,19,18,24,6,21,29,13,31,37,39,47,46,47,44
FEDXA05,M,2,25,12,14,44,40,33,39,38,37,30,38,48,54,56,50,64,67
FEDXA06,M,2,44,33,2,40,41,44,39,34,30,38,57,50,67,55,57,48,70
FEDXA07,M,1,32,20,12,21,27,31,20,34,33,31,33,43,37,37,34,34,34
FEDXA08,M,1,30,20,27,36,42,42,28,18,17,19,18,26,27,13,25,15,15
FEDXA09,M,1,68,46,25,33,33,33,32,38,16,38,41,51,54,45,50,43,34
FEDXA10,M,1,37,24,20,32,36,44,33,25,40,24,31,34,34,30,27,31,38
FEDXA11,M,1,48,33,15,28,31,37,38,38,31,28,27,12,40,51,48,54,47
FEDXA12,M,1,38,29,33,32,31,39,33,39,41,46,38,55,58,55,30,32,40
FEDXB01,F,2,32,27,18,62,45,43,43,35,61,50,20,38,64,65,71,72,58
FEDXB02,F,2,56,47,30,37,38,30,34,23,45,35,30,49,71,37,49,54,30
FEDXB03,F,2,20,42,30,60,63,59,49,48,42,36,34,43,55,59,64,70,53
FEDXB04,F,2,35,21,33,45,25,28,20,13,23,22,22,40,52,48,34,43,49
FEDXB05,F,2,39,35,33,40,43,50,33,32,50,42,40,41,46,50,47,48,42
FEDXB06,F,2,40,24,24,26,63,46,48,34,42,25,42,35,56,54,58,51,35
FEDXB07,F,1,37,23,27,26,29,32,36,42,34,26,42,40,61,55,59,69,70
FEDXB08,F,1,23,12,4,19,17,26,21,14,23,10,31,33,27,17,24,36,36
FEDXB10,F,1,48,37,43,40,43,63,52,54,54,48,57,83,69,57,43,59,63
FEDXB11,F,1,32,49,43,42,44,47,44,43,40,45,35,40,36,39,34,42,44
FEDXB12,F,1,24,14,6,17,21,22,13,20,14,6,20,21,13,15,22,23,23
