"Effect","df","MSE","F","pes","p.value"
"Order","1, 21","1310.03","1.74",".077",".201"
"phase","1, 21","245.97","32.86 ***",".610","<.001"
"Order:phase","1, 21","245.97","4.58 *",".179",".044"
"day","3.35, 70.44","95.00","6.28 ***",".230","<.001"
"Order:day","3.35, 70.44","95.00","0.94",".043",".436"
"phase:day","4.06, 85.30","101.14","3.55 **",".145",".010"
"Order:phase:day","4.06, 85.30","101.14","3.29 *",".135",".014"
