"","F.1.NR","M.1.NR","F.2.NR","M.2.NR","F.1.PR","M.1.PR","F.2.PR","Comparison"
"M.1.NR",1,NA,NA,NA,NA,NA,NA,"M.1.NR"
"F.2.NR",1,1,NA,NA,NA,NA,NA,"F.2.NR"
"M.2.NR",0.146474283552128,0.340246174487314,0.212978868587509,NA,NA,NA,NA,"M.2.NR"
"F.1.PR",1,1,1,0.0344644693729166,NA,NA,NA,"F.1.PR"
"M.1.PR",1,1,1,0.0210691910858987,1,NA,NA,"M.1.PR"
"F.2.PR",0.360311467879877,0.0877808006395624,0.146474283552128,5.74947688577893e-05,1,0.986111406653474,NA,"F.2.PR"
"M.2.PR",1,0.892066870445918,1,0.00156311931192589,1,1,1,"M.2.PR"
