"sex","order","Diet_Phase","mean_interaction_time","sd_interaction_time","count"
"F",1,"pr_interaction_time",248.563333333333,61.9005770929839,5
"F",1,"nr_interaction_time",229.523333333333,44.072244351998,5
"F",2,"pr_interaction_time",259.927777777778,34.0624029730185,6
"F",2,"nr_interaction_time",259.116666666667,54.420286250217,6
"M",1,"pr_interaction_time",229.288888888889,28.0796182837831,6
"M",1,"nr_interaction_time",217.813888888889,21.7114394237658,6
"M",2,"pr_interaction_time",251.794444444444,23.0649581897799,6
"M",2,"nr_interaction_time",279.891666666667,52.4759159043461,6
