"Factor","Sum.Sq","Df","F.value","Pr..F."
"sex",292.027734487761,1,0.252319779092342,0.618344935304688
"order",7650.42546176045,1,6.61017237235982,0.0141791853383536
"Diet_Phase",2.03140096618154,1,0.00175518480781961,0.966801822265207
"sex:order",2272.11428571428,1,1.96316755889502,0.169289276649964
"sex:Diet_Phase",1077.99334616002,1,0.9314151049496,0.340597572396468
"order:Diet_Phase",8007.53827881996,1,6.91872740487943,0.0122501768656132
"sex:order:Diet_Phase",1022.88127336861,1,0.883796798912869,0.353101790694962
"Residuals",43980.119,38,NA,NA
