Mouse ID,Sex,Order,PR,NR
FEDXA01,M,2,257,104
FEDXA02,M,2,154,99
FEDXA03,M,2,211,74
FEDXA04,M,2,201,77
FEDXA05,M,2,196,89
FEDXA06,M,2,302,107
FEDXA07,M,1,61,45
FEDXA08,M,1,84,86
FEDXA09,M,1,118,62
FEDXA10,M,1,83,68
FEDXA11,M,1,249,163
FEDXA12,M,1,145,144
FEDXB01,F,2,201,89
FEDXB02,F,2,250,45
FEDXB03,F,2,237,121
FEDXB04,F,2,266,62
FEDXB05,F,2,211,97
FEDXB06,F,2,157,103
FEDXB07,F,1,132,75
FEDXB08,F,1,57,28
FEDXB10,F,1,229,209
FEDXB11,F,1,318,296
FEDXB12,F,1,34,19
