"contrast","estimate","SE","df","t.ratio","p.value"
"NR0 Order1 - PR0 Order1",-0.00610740781818182,0.196971682549423,21,-0.0310065271268086,1
"NR0 Order1 - PR1 Order1",-0.0987334413636364,0.20969881236178,21,-0.47083452811024,1
"NR0 Order1 - PR2 Order1",-0.0986975300909092,0.172351460858061,21,-0.572652703954687,1
"NR0 Order1 - PR3 Order1",-0.099147301363636,0.137672959163146,21,-0.720165397521121,1
"NR0 Order1 - PR4 Order1",-0.0864337694545454,0.14637766068168,21,-0.590484702734172,1
"NR0 Order1 - PR5 Order1",-0.0953254417272727,0.170361637391309,21,-0.559547578826781,1
"NR0 Order1 - PR6 Order1",-0.102148174818182,0.150686781764244,21,-0.677884109158274,1
"NR0 Order1 - NR1 Order1",-0.011752599818182,0.156427497683852,21,-0.0751312908037089,1
"NR0 Order1 - NR2 Order1",-0.265926916454546,0.260683046274866,21,-1.02011588499756,1
"NR0 Order1 - NR3 Order1",-0.0945964644545453,0.183162441331191,21,-0.516462129282813,1
"NR0 Order1 - NR4 Order1",0.127793944,0.143863080435611,21,0.888302569450382,1
"NR0 Order1 - NR5 Order1",-0.0131356834545458,0.169945119571626,21,-0.0772936786161105,1
"NR0 Order1 - NR6 Order1",0.0723951728181819,0.134062646872662,21,0.540010021486044,1
