"Effect","df","MSE","F","pes","p.value"
"Order","1, 21","1.83","1.45",".065",".242"
"phase","1, 21","0.31","40.12 ***",".656","<.001"
"Order:phase","1, 21","0.31","29.21 ***",".582","<.001"
"day","3.82, 80.28","0.20","2.47 +",".105",".053"
"Order:day","3.82, 80.28","0.20","1.19",".054",".320"
"phase:day","3.76, 78.95","0.25","0.78",".036",".534"
"Order:phase:day","3.76, 78.95","0.25","2.49 +",".106",".053"
