"","Factor","Sum.Sq","Df","F.value","Pr..F."
"Sex","Sex",2002.56565656568,1,0.429720073893369,0.5160756826797
"Order","Order",11027.5542929293,1,2.36634510837836,0.132263265837354
"Diet_Phase","Diet_Phase",77736.5434782611,1,16.6810776456546,0.00021975463496385
"Sex:Order","Sex:Order",3180.95555555556,1,0.682584589375746,0.413855573389608
"Sex:Diet_Phase","Sex:Diet_Phase",24.6933621933567,1,0.0052988192380183,0.942352660707722
"Order:Diet_Phase","Order:Diet_Phase",30123.3638167389,1,6.46401484156347,0.0152048283780618
"Sex:Order:Diet_Phase","Sex:Order:Diet_Phase",23.4793650793727,1,0.00503831395679709,0.943785071152323
"Residuals","Residuals",177086.2,38,NA,NA
