order,sex,diet,hour,mean_pellet_intake,sd_pellet_intake,Comparison
1,F,NR,0,1.6,0.583794764048644,PR
1,F,PR,0,2.2,1.76010203785845,PR
1,F,NR,1,0.428571428571429,0.285714285714286,PR
1,F,PR,1,0.657142857142857,0.576760835376753,PR
1,F,NR,2,1.37142857142857,0.385978745317323,PR
1,F,PR,2,1.68571428571429,0.797956573929654,PR
1,F,NR,3,1.08571428571429,0.398978286964827,PR
1,F,PR,3,1.71428571428571,0.614451804788759,PR
1,F,NR,4,1.05714285714286,0.811901270764733,NR
1,F,PR,4,0.8,0.162882203585591,NR
1,F,NR,5,0.714285714285714,0.364215679542342,PR
1,F,PR,5,0.828571428571429,0.255550625999976,PR
1,F,NR,6,0.742857142857143,0.444926042925641,PR
1,F,PR,6,0.942857142857143,0.385978745317323,PR
1,F,NR,7,0.342857142857143,0.191662969499982,PR
1,F,PR,7,0.428571428571429,0.364215679542342,PR
1,F,NR,8,0.657142857142857,0.549582401762038,PR
1,F,PR,8,0.742857142857143,0.467297920965604,PR
1,F,NR,9,0.714285714285714,0.364215679542342,PR
1,F,PR,9,0.942857142857143,0.458480186739463,PR
1,F,NR,10,0.8,0.558788777588798,NR
1,F,PR,10,0.657142857142857,0.423782770691181,NR
1,F,NR,11,1.0,0.714285714285714,PR
1,F,PR,11,1.25714285714286,0.383325938999964,PR
1,F,NR,12,1.42857142857143,0.440315285926355,PR
1,F,PR,12,1.77142857142857,0.411567436882512,PR
1,F,NR,13,2.42857142857143,1.48117438238055,PR
1,F,PR,13,3.28571428571429,1.26571751047638,PR
1,F,NR,14,2.51428571428571,1.46245530195083,PR
1,F,PR,14,3.45714285714286,1.4335627090631,PR
1,F,NR,15,2.65714285714286,1.23552847488227,PR
1,F,PR,15,3.25714285714286,1.63943743462226,PR
1,F,NR,16,2.28571428571429,1.24948969175256,PR
1,F,PR,16,3.02857142857143,1.6763663327664,PR
1,F,NR,17,2.14285714285714,1.50169971725919,PR
1,F,PR,17,2.25714285714286,1.11300292461614,PR
1,F,NR,18,1.28571428571429,0.839095723176481,PR
1,F,PR,18,2.45714285714286,1.41204729064589,PR
1,F,NR,19,1.37142857142857,1.23965103713809,PR
1,F,PR,19,2.02857142857143,0.928021815366384,PR
1,F,NR,20,1.28571428571429,0.942207568448066,PR
1,F,PR,20,1.65714285714286,1.22307741674309,PR
1,F,NR,21,1.02857142857143,0.745051703451731,PR
1,F,PR,21,1.6,1.11300292461614,PR
1,F,NR,22,1.62857142857143,1.20203908388358,NR
1,F,PR,22,1.22857142857143,0.576760835376753,NR
1,F,NR,23,1.62857142857143,0.836660026534076,PR
1,F,PR,23,2.2,1.61181859515067,PR
1,M,NR,0,1.35714285714286,0.65621051873462,NR
1,M,PR,0,1.26190476190476,0.552668233998253,NR
1,M,NR,1,1.4047619047619,0.277255745295422,NR
1,M,PR,1,1.16666666666667,0.50642135128173,NR
1,M,NR,2,0.833333333333333,0.140456011464311,PR
1,M,PR,2,1.42857142857143,0.383325938999964,PR
1,M,NR,3,0.952380952380952,0.410740164816149,PR
1,M,PR,3,1.47619047619048,0.40067969462786,PR
1,M,NR,4,0.642857142857143,0.267261241912424,PR
1,M,PR,4,0.952380952380952,0.295084445425327,PR
1,M,NR,5,0.333333333333333,0.280912022928621,PR
1,M,PR,5,0.714285714285714,0.221313334068995,PR
1,M,NR,6,0.333333333333333,0.215077900774023,PR
1,M,PR,6,0.452380952380952,0.167006456350002,PR
1,M,NR,7,0.428571428571429,0.18070158058105,PR
1,M,PR,7,0.571428571428571,0.433307168231517,PR
1,M,NR,8,0.5,0.322616851161035,Equal
1,M,PR,8,0.5,0.346998794328318,Equal
1,M,NR,9,0.619047619047619,0.173008591662714,Equal
1,M,PR,9,0.619047619047619,0.40067969462786,Equal
1,M,NR,10,0.428571428571429,0.15649215928719,PR
1,M,PR,10,0.69047619047619,0.514417972411672,PR
1,M,NR,11,0.571428571428571,0.393829964345435,PR
1,M,PR,11,0.80952380952381,0.233284737407922,PR
1,M,NR,12,1.54761904761905,0.50642135128173,NR
1,M,PR,12,1.35714285714286,0.517056030595825,NR
1,M,NR,13,2.57142857142857,0.578527335180474,PR
1,M,PR,13,3.66666666666667,0.984229385353433,PR
