"sex","order","hour","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"F","1","0","diet",1,8,0.523,0.49,"",0.061,1
"F","1","1","diet",1,8,0.631,0.45,"",0.073,1
"F","1","2","diet",1,8,0.629,0.451,"",0.073,1
"F","1","3","diet",1,8,3.681,0.091,"",0.315,1
"F","1","4","diet",1,8,0.482,0.507,"",0.057,1
"F","1","5","diet",1,8,0.33,0.582,"",0.04,1
"F","1","6","diet",1,8,0.576,0.469,"",0.067,1
"F","1","7","diet",1,8,0.217,0.654,"",0.026,1
"F","1","8","diet",1,8,0.071,0.797,"",0.009,1
"F","1","9","diet",1,8,0.762,0.408,"",0.087,1
"F","1","10","diet",1,8,0.207,0.661,"",0.025,1
"F","1","11","diet",1,8,0.503,0.498,"",0.059,1
"F","1","12","diet",1,8,1.618,0.239,"",0.168,1
"F","1","13","diet",1,8,0.968,0.354,"",0.108,1
"F","1","14","diet",1,8,1.06,0.333,"",0.117,1
"F","1","15","diet",1,8,0.427,0.532,"",0.051,1
"F","1","16","diet",1,8,0.631,0.45,"",0.073,1
"F","1","17","diet",1,8,0.019,0.895,"",0.002,1
"F","1","18","diet",1,8,2.543,0.149,"",0.241,1
"F","1","19","diet",1,8,0.9,0.37,"",0.101,1
"F","1","20","diet",1,8,0.289,0.605,"",0.035,1
"F","1","21","diet",1,8,0.91,0.368,"",0.102,1
"F","1","22","diet",1,8,0.45,0.521,"",0.053,1
"F","1","23","diet",1,8,0.495,0.502,"",0.058,1
"M","1","0","diet",1,10,0.074,0.791,"",0.007,1
"M","1","1","diet",1,10,1.02,0.336,"",0.093,1
"M","1","2","diet",1,10,12.755,0.005,"*",0.561,0.465
"M","1","3","diet",1,10,5,0.049,"*",0.333,1
"M","1","4","diet",1,10,3.627,0.086,"",0.266,1
"M","1","5","diet",1,10,6.809,0.026,"*",0.405,1
"M","1","6","diet",1,10,1.147,0.309,"",0.103,1
"M","1","7","diet",1,10,0.556,0.473,"",0.053,1
"M","1","8","diet",1,10,0,1,"",0,1
"M","1","9","diet",1,10,0,1,"",0,1
"M","1","10","diet",1,10,1.424,0.26,"",0.125,1
"M","1","11","diet",1,10,1.623,0.231,"",0.14,1
"M","1","12","diet",1,10,0.416,0.534,"",0.04,1
"M","1","13","diet",1,10,5.522,0.041,"*",0.356,1
"M","1","14","diet",1,10,1.318,0.278,"",0.116,1
"M","1","15","diet",1,10,0.252,0.626,"",0.025,1
"M","1","16","diet",1,10,0.253,0.626,"",0.025,1
"M","1","17","diet",1,10,0.08,0.782,"",0.008,1
"M","1","18","diet",1,10,0.271,0.614,"",0.026,1
"M","1","19","diet",1,10,0.871,0.373,"",0.08,1
"M","1","20","diet",1,10,0.247,0.63,"",0.024,1
"M","1","21","diet",1,10,0.052,0.824,"",0.005,1
"M","1","22","diet",1,10,6.648,0.027,"*",0.399,1
"M","1","23","diet",1,10,0.938,0.356,"",0.086,1
"F","2","0","diet",1,10,1.166,0.306,"",0.104,1
"F","2","1","diet",1,10,0.066,0.802,"",0.007,1
"F","2","2","diet",1,10,1.459,0.255,"",0.127,1
"F","2","3","diet",1,10,0.399,0.542,"",0.038,1
"F","2","4","diet",1,10,0.238,0.636,"",0.023,1
"F","2","5","diet",1,10,2.314,0.159,"",0.188,1
"F","2","6","diet",1,10,0.362,0.561,"",0.035,1
"F","2","7","diet",1,10,0.377,0.553,"",0.036,1
"F","2","8","diet",1,10,2.49,0.146,"",0.199,1
"F","2","9","diet",1,10,0.058,0.815,"",0.006,1
"F","2","10","diet",1,10,0.158,0.7,"",0.016,1
"F","2","11","diet",1,10,8.353,0.016,"*",0.455,1
