"contrast","hour","estimate","SE","df","t.ratio","p.value"
"NR F order1 - PR F order1","0",-0.285714285714478,0.36833849072035,893.000000006227,-0.775684032249015,1
"NR F order1 - NR M order1","0",0.333333333332992,0.417599136757216,187.382483507299,0.7982136551369,1
"NR F order1 - PR M order1","0",0.452380952380755,0.417599136757214,187.382483507309,1.08328996054358,1
"NR F order1 - NR F order2","0",0.404761904761612,0.417599136757219,187.382483507294,0.969259438380806,1
"NR F order1 - PR F order2","0",-0.5000000000002,0.417599136757213,187.382483507309,-1.19732048270707,1
"NR F order1 - NR M order2","0",0.380952380952252,0.417599136757216,187.382483507342,0.912244177299943,1
"NR F order1 - PR M order2","0",-0.357142857142988,0.417599136757216,187.382483507324,-0.855228916219296,1
"PR F order1 - NR M order1","0",0.619047619047469,0.417599136757215,187.382483507352,1.48239678811255,1
"PR F order1 - PR M order1","0",0.738095238095233,0.417599136757218,187.382483507379,1.76747309351921,1
"PR F order1 - NR F order2","0",0.690476190476089,0.417599136757214,187.382483507357,1.65344257135647,1
"PR F order1 - PR F order2","0",-0.214285714285722,0.417599136757218,187.382483507367,-0.513137349731407,1
"PR F order1 - NR M order2","0",0.66666666666673,0.417599136757217,187.382483507381,1.59642731027558,1
"PR F order1 - PR M order2","0",-0.0714285714285102,0.417599136757216,187.382483507374,-0.17104578324365,1
"NR M order1 - PR M order1","0",0.119047619047764,0.336245500274898,892.999999998389,0.354049701632992,1
"NR M order1 - NR F order2","0",0.07142857142862,0.398165154199252,187.382483507372,0.179394330908413,1
"NR M order1 - PR F order2","0",-0.833333333333191,0.398165154199253,187.382483507394,-2.09293386059637,0.904834732425681
"NR M order1 - NR M order2","0",0.0476190476192608,0.398165154199253,187.382483507381,0.119596220606063,1
"NR M order1 - PR M order2","0",-0.690476190475979,0.398165154199252,187.382483507394,-1.73414519877962,1
"PR M order1 - NR F order2","0",-0.0476190476191438,0.398165154199254,187.382483507384,-0.119596220605768,1
"PR M order1 - PR F order2","0",-0.952380952380955,0.398165154199253,187.382483507394,-2.39192441211055,0.47923346551633
"PR M order1 - NR M order2","0",-0.0714285714285029,0.398165154199253,187.382483507404,-0.179394330908119,1
"PR M order1 - PR M order2","0",-0.809523809523743,0.398165154199253,187.382483507401,-2.03313575029379,0.999336124000946
"NR F order2 - PR F order2","0",-0.904761904761811,0.3362455002749,892.999999998681,-2.69077773240717,0.203328886105198
"NR F order2 - NR M order2","0",-0.0238095238093591,0.398165154199253,187.382483507411,-0.05979811030235,1
"NR F order2 - PR M order2","0",-0.761904761904599,0.398165154199252,187.382483507404,-1.91353952968803,1
"PR F order2 - NR M order2","0",0.880952380952452,0.398165154199252,187.382483507406,2.21253008120244,0.731589683966719
"PR F order2 - PR M order2","0",0.142857142857212,0.398165154199253,187.382483507399,0.358788661816756,1
"NR M order2 - PR M order2","0",-0.73809523809524,0.336245500274898,892.999999999442,-2.19510815012189,0.731589683966719
"NR F order1 - PR F order1","1",-0.228571428571429,0.368338490720342,893.000000000027,-0.62054722579881,1
"NR F order1 - NR M order1","1",-0.719047619047715,0.417599136757209,187.382483507411,-1.72186088465448,1
"NR F order1 - PR M order1","1",-0.385714285714382,0.417599136757209,187.382483507411,-0.92364722951675,1
"NR F order1 - NR F order2","1",-0.0285714285715188,0.417599136757209,187.382483507409,-0.068418313297736,1
"NR F order1 - PR F order2","1",-0.266666666666756,0.417599136757209,187.382483507411,-0.638570924110401,1
"NR F order1 - NR M order2","1",-0.195238095238131,0.417599136757209,187.382483507411,-0.467525140866472,1
"NR F order1 - PR M order2","1",-1.21904761904765,0.417599136757208,187.382483507409,-2.91918136736094,0.102431823823913
"PR F order1 - NR M order1","1",-0.490476190476287,0.417599136757209,187.382483507411,-1.17451437827432,1
"PR F order1 - PR M order1","1",-0.157142857142953,0.417599136757209,187.382483507411,-0.37630072313659,1
"PR F order1 - NR F order2","1",0.19999999999991,0.417599136757209,187.382483507411,0.478928193082424,1
"PR F order1 - PR F order2","1",-0.0380952380953276,0.417599136757209,187.382483507409,-0.0912244177302409,1
"PR F order1 - NR M order2","1",0.0333333333332978,0.417599136757209,187.382483507409,0.0798213655136881,1
"PR F order1 - PR M order2","1",-0.990476190476226,0.417599136757209,187.382483507414,-2.37183486098078,0.449128703890856
"NR M order1 - PR M order1","1",0.333333333333333,0.336245500274897,892.999999999968,0.991339164571174,1
"NR M order1 - NR F order2","1",0.690476190476197,0.398165154199253,187.382483507424,1.73414519878016,1
"NR M order1 - PR F order2","1",0.452380952380959,0.398165154199253,187.382483507424,1.13616409575252,1
"NR M order1 - NR M order2","1",0.523809523809584,0.398165154199253,187.382483507421,1.31555842666095,1
"NR M order1 - PR M order2","1",-0.499999999999939,0.398165154199253,187.382483507424,-1.25576031635788,1
"PR M order1 - NR F order2","1",0.357142857142863,0.398165154199253,187.382483507424,0.89697165454147,1
"PR M order1 - PR F order2","1",0.119047619047626,0.398165154199253,187.382483507424,0.298990551513835,1
"PR M order1 - NR M order2","1",0.190476190476251,0.398165154199253,187.382483507424,0.478384882422261,1
"PR M order1 - PR M order2","1",-0.833333333333273,0.398165154199253,187.382483507419,-2.09293386059657,0.867133285240849
"NR F order2 - PR F order2","1",-0.238095238095238,0.336245500274898,892.999999999968,-0.708099403265123,1
"NR F order2 - NR M order2","1",-0.166666666666612,0.398165154199253,187.382483507424,-0.418586772119209,1
"NR F order2 - PR M order2","1",-1.19047619047614,0.398165154199253,187.382483507424,-2.98990551513804,0.0854625417936693
"PR F order2 - NR M order2","1",0.0714285714286254,0.398165154199253,187.382483507424,0.179394330908426,1
"PR F order2 - PR M order2","1",-0.952380952380898,0.398165154199252,187.382483507421,-2.39192441211041,0.443734690293061
"NR M order2 - PR M order2","1",-1.02380952380952,0.336245500274897,892.999999999968,-3.04482743404004,0.0671004261992469
"NR F order1 - PR F order1","2",0.0571428571428608,0.368338490720342,892.999999999968,0.155136806449712,1
"NR F order1 - NR M order1","2",0.23333333333324,0.417599136757209,187.382483507411,0.55874955859619,1
"NR F order1 - PR M order1","2",-0.171428571428665,0.417599136757209,187.382483507411,-0.410509879785344,1
"NR F order1 - NR F order2","2",0.376190476190389,0.417599136757209,187.382483507409,0.900841125083804,1
"NR F order1 - PR F order2","2",-0.766666666666754,0.417599136757209,187.382483507409,-1.83589140681699,1
"NR F order1 - NR M order2","2",0.138095238095205,0.417599136757209,187.382483507409,0.330688514271267,1
"NR F order1 - PR M order2","2",-0.0761904761905087,0.417599136757209,187.382483507411,-0.182448835460131,1
"PR F order1 - NR M order1","2",0.176190476190379,0.417599136757209,187.382483507414,0.421912932001141,1
"PR F order1 - PR M order1","2",-0.228571428571526,0.417599136757209,187.382483507411,-0.547346506380392,1
"PR F order1 - NR F order2","2",0.319047619047528,0.417599136757209,187.382483507411,0.764004498488755,1
"PR F order1 - PR F order2","2",-0.823809523809614,0.417599136757209,187.382483507411,-1.97272803341204,1
"PR F order1 - NR M order2","2",0.0809523809523442,0.417599136757209,187.382483507411,0.193851887676219,1
"PR F order1 - PR M order2","2",-0.133333333333369,0.417599136757208,187.382483507414,-0.31928546205518,1
"NR M order1 - PR M order1","2",-0.404761904761905,0.336245500274898,892.999999999968,-1.20376898555071,1
"NR M order1 - NR F order2","2",0.142857142857149,0.398165154199253,187.382483507424,0.358788661816597,1
"NR M order1 - PR F order2","2",-0.999999999999994,0.398165154199253,187.382483507421,-2.51152063271606,0.347388959431538
"NR M order1 - NR M order2","2",-0.0952380952380352,0.398165154199253,187.382483507421,-0.239192441210904,1
"NR M order1 - PR M order2","2",-0.309523809523749,0.398165154199253,187.382483507419,-0.777375433935775,1
"PR M order1 - NR F order2","2",0.547619047619054,0.398165154199253,187.382483507424,1.37535653696358,1
"PR M order1 - PR F order2","2",-0.595238095238089,0.398165154199253,187.382483507424,-1.49495275756907,1
"PR M order1 - NR M order2","2",0.30952380952387,0.398165154199253,187.382483507421,0.777375433936079,1
"PR M order1 - PR M order2","2",0.0952380952381564,0.398165154199252,187.382483507419,0.239192441211208,1
"NR F order2 - PR F order2","2",-1.14285714285714,0.336245500274897,892.999999999968,-3.3988771356726,0.019784199924876
"NR F order2 - NR M order2","2",-0.238095238095184,0.398165154199253,187.382483507424,-0.597981103027501,1
"NR F order2 - PR M order2","2",-0.452380952380898,0.398165154199253,187.382483507419,-1.13616409575237,1
"PR F order2 - NR M order2","2",0.904761904761959,0.398165154199253,187.382483507424,2.27232819150515,0.629261664715159
"PR F order2 - PR M order2","2",0.690476190476245,0.398165154199253,187.382483507419,1.73414519878028,1
"NR M order2 - PR M order2","2",-0.214285714285714,0.336245500274897,892.999999999968,-0.637289462938611,1
"NR F order1 - PR F order1","3",-0.6,0.368338490720341,893.000000000085,-1.62893646772188,1
"NR F order1 - NR M order1","3",0.147619047618953,0.417599136757208,187.382483507409,0.353494618703627,1
"NR F order1 - PR M order1","3",-0.0190476190477146,0.417599136757208,187.382483507409,-0.0456122088652422,1
"NR F order1 - NR F order2","3",0.314285714285626,0.417599136757208,187.382483507406,0.752601446272509,1
"NR F order1 - PR F order2","3",0.0761904761903875,0.417599136757208,187.382483507409,0.182448835459841,1
"NR F order1 - NR M order2","3",0.0999999999999646,0.417599136757209,187.382483507411,0.239464096541235,1
"NR F order1 - PR M order2","3",0.0761904761904416,0.417599136757208,187.382483507409,0.182448835459971,1
"PR F order1 - NR M order1","3",0.747619047618952,0.417599136757208,187.382483507411,1.79027919795154,1
"PR F order1 - PR M order1","3",0.580952380952285,0.417599136757209,187.382483507409,1.39117237038268,1
"PR F order1 - NR F order2","3",0.914285714285626,0.417599136757209,187.382483507409,2.18938602552043,0.834522159875611
"PR F order1 - PR F order2","3",0.676190476190387,0.417599136757209,187.382483507409,1.61923341470776,1
"PR F order1 - NR M order2","3",0.699999999999964,0.417599136757209,187.382483507411,1.67624867578915,1
"PR F order1 - PR M order2","3",0.676190476190441,0.417599136757209,187.382483507409,1.61923341470789,1
"NR M order1 - PR M order1","3",-0.166666666666667,0.336245500274897,892.999999999968,-0.49566958228559,1
"NR M order1 - NR F order2","3",0.166666666666673,0.398165154199253,187.382483507424,0.418586772119362,1
"NR M order1 - PR F order2","3",-0.0714285714285653,0.398165154199252,187.382483507424,-0.179394330908276,1
"NR M order1 - NR M order2","3",-0.0476190476189882,0.398165154199253,187.382483507421,-0.119596220605378,1
"NR M order1 - PR M order2","3",-0.0714285714285112,0.398165154199252,187.382483507421,-0.17939433090814,1
"PR M order1 - NR F order2","3",0.333333333333341,0.398165154199253,187.382483507421,0.837173544238709,1
"PR M order1 - PR F order2","3",0.0952380952381021,0.398165154199253,187.382483507424,0.239192441211072,1
"PR M order1 - NR M order2","3",0.119047619047679,0.398165154199253,187.382483507424,0.298990551513969,1
"PR M order1 - PR M order2","3",0.0952380952381563,0.398165154199253,187.382483507421,0.239192441211208,1
"NR F order2 - PR F order2","3",-0.238095238095239,0.336245500274897,892.999999999968,-0.708099403265127,1
"NR F order2 - NR M order2","3",-0.214285714285661,0.398165154199253,187.382483507426,-0.538182992724739,1
"NR F order2 - PR M order2","3",-0.238095238095184,0.398165154199253,187.382483507419,-0.597981103027502,1
"PR F order2 - NR M order2","3",0.0238095238095771,0.398165154199253,187.382483507421,0.0597981103028976,1
"PR F order2 - PR M order2","3",5.41164335565725e-14,0.398165154199253,187.382483507426,1.3591453944634e-13,1
"NR M order2 - PR M order2","3",-0.023809523809523,0.336245500274897,892.999999999968,-0.0708099403265102,1
"NR F order1 - PR F order1","4",0.285714285714284,0.368338490720341,893.000000000027,0.775684032248508,1
"NR F order1 - NR M order1","4",0.614285714285617,0.417599136757208,187.382483507411,1.47099373589645,1
"NR F order1 - PR M order1","4",-0.314285714285812,0.417599136757209,187.382483507411,-0.752601446272953,1
"NR F order1 - NR F order2","4",0.352380952380862,0.417599136757209,187.382483507411,0.84382586400253,1
"NR F order1 - PR F order2","4",-0.0285714285715189,0.417599136757209,187.382483507414,-0.0684183132977363,1
"NR F order1 - NR M order2","4",0.614285714285677,0.417599136757209,187.382483507414,1.47099373589659,1
"NR F order1 - PR M order2","4",0.37619047619044,0.417599136757208,187.382483507416,0.900841125083926,1
"PR F order1 - NR M order1","4",0.328571428571333,0.417599136757209,187.382483507411,0.78681060292125,1
"PR F order1 - PR M order1","4",-0.600000000000096,0.417599136757209,187.382483507411,-1.43678457924815,1
"PR F order1 - NR F order2","4",0.0666666666665781,0.417599136757209,187.382483507411,0.159642731027334,1
"PR F order1 - PR F order2","4",-0.314285714285803,0.417599136757209,187.382483507411,-0.752601446272932,1
"PR F order1 - NR M order2","4",0.328571428571393,0.417599136757209,187.382483507414,0.786810602921393,1
"PR F order1 - PR M order2","4",0.0904761904761556,0.417599136757208,187.382483507411,0.21665799210873,1
"NR M order1 - PR M order1","4",-0.928571428571429,0.336245500274898,892.999999999968,-2.76158767273399,0.164364166939756
"NR M order1 - NR F order2","4",-0.261904761904755,0.398165154199253,187.382483507421,-0.657779213330382,1
"NR M order1 - PR F order2","4",-0.642857142857136,0.398165154199253,187.382483507424,-1.6145489781746,1
