mouse_id,sex,order,day,hour,pr_hourly_pellet_intake,nr_hourly_pellet_intake
FEDXA01,M,2,2,2,0,4
FEDXA01,M,2,2,3,6,11
FEDXA01,M,2,2,4,8,4
FEDXA01,M,2,2,5,0,2
FEDXA01,M,2,2,6,6,7
FEDXA01,M,2,2,7,0,6
FEDXA01,M,2,2,8,6,0
FEDXA01,M,2,2,9,0,8
FEDXA01,M,2,2,10,3,0
FEDXA01,M,2,2,11,3,5
FEDXA01,M,2,2,12,9,6
FEDXA01,M,2,2,13,11,15
FEDXA01,M,2,2,14,12,21
FEDXA01,M,2,2,15,17,19
FEDXA01,M,2,2,16,10,18
FEDXA01,M,2,2,17,10,24
FEDXA01,M,2,2,18,13,25
FEDXA01,M,2,2,19,8,0
FEDXA01,M,2,2,20,11,8
FEDXA01,M,2,2,21,4,0
FEDXA01,M,2,2,22,7,0
FEDXA01,M,2,2,23,13,16
FEDXA01,M,2,3,0,4,1
FEDXA01,M,2,3,1,10,12
FEDXA01,M,2,3,2,2,6
FEDXA01,M,2,3,3,10,9
FEDXA01,M,2,3,4,0,10
FEDXA01,M,2,3,5,10,2
FEDXA01,M,2,3,6,1,10
FEDXA01,M,2,3,7,4,6
FEDXA01,M,2,3,8,0,0
FEDXA01,M,2,3,9,5,0
FEDXA01,M,2,3,10,6,4
FEDXA01,M,2,3,11,4,6
FEDXA01,M,2,3,12,8,5
FEDXA01,M,2,3,13,7,14
FEDXA01,M,2,3,14,15,16
FEDXA01,M,2,3,15,16,17
FEDXA01,M,2,3,16,16,21
FEDXA01,M,2,3,17,8,26
FEDXA01,M,2,3,18,13,21
FEDXA01,M,2,3,19,0,3
FEDXA01,M,2,3,20,15,8
FEDXA01,M,2,3,21,3,7
FEDXA01,M,2,3,22,19,7
FEDXA01,M,2,3,23,8,0
FEDXA01,M,2,4,0,9,12
FEDXA01,M,2,4,1,10,10
FEDXA01,M,2,4,2,6,3
FEDXA01,M,2,4,3,4,13
FEDXA01,M,2,4,4,4,13
FEDXA01,M,2,4,5,11,9
FEDXA01,M,2,4,6,0,1
FEDXA01,M,2,4,7,9,0
FEDXA01,M,2,4,8,6,3
FEDXA01,M,2,4,9,0,0
FEDXA01,M,2,4,10,3,8
FEDXA01,M,2,4,11,8,8
FEDXA01,M,2,4,12,7,6
FEDXA01,M,2,4,13,10,14
FEDXA01,M,2,4,14,19,14
FEDXA01,M,2,4,15,17,27
FEDXA01,M,2,4,16,26,26
FEDXA01,M,2,4,17,9,23
FEDXA01,M,2,4,18,18,13
FEDXA01,M,2,4,19,5,0
FEDXA01,M,2,4,20,7,14
FEDXA01,M,2,4,21,1,8
FEDXA01,M,2,4,22,12,8
FEDXA01,M,2,4,23,14,8
FEDXA01,M,2,5,0,0,6
FEDXA01,M,2,5,1,11,7
FEDXA01,M,2,5,2,10,2
FEDXA01,M,2,5,3,0,4
FEDXA01,M,2,5,4,5,10
FEDXA01,M,2,5,5,12,0
FEDXA01,M,2,5,6,0,13
FEDXA01,M,2,5,7,0,0
FEDXA01,M,2,5,8,7,0
FEDXA01,M,2,5,9,2,7
FEDXA01,M,2,5,10,5,0
FEDXA01,M,2,5,11,4,13
FEDXA01,M,2,5,12,10,7
FEDXA01,M,2,5,13,15,14
FEDXA01,M,2,5,14,13,17
FEDXA01,M,2,5,15,24,28
FEDXA01,M,2,5,16,27,27
FEDXA01,M,2,5,17,25,15
FEDXA01,M,2,5,18,13,7
FEDXA01,M,2,5,19,19,10
FEDXA01,M,2,5,20,0,13
FEDXA01,M,2,5,21,10,7
FEDXA01,M,2,5,22,8,0
FEDXA01,M,2,5,23,11,16
FEDXA01,M,2,6,0,6,8
FEDXA01,M,2,6,1,12,11
FEDXA01,M,2,6,2,8,1
FEDXA01,M,2,6,3,2,0
FEDXA01,M,2,6,4,7,11
FEDXA01,M,2,6,5,2,3
FEDXA01,M,2,6,6,4,10
FEDXA01,M,2,6,7,6,0
FEDXA01,M,2,6,8,5,0
FEDXA01,M,2,6,9,8,6
FEDXA01,M,2,6,10,3,5
FEDXA01,M,2,6,11,10,7
FEDXA01,M,2,6,12,7,5
FEDXA01,M,2,6,13,14,13
FEDXA01,M,2,6,14,20,17
FEDXA01,M,2,6,15,25,18
FEDXA01,M,2,6,16,23,30
FEDXA01,M,2,6,17,18,19
FEDXA01,M,2,6,18,11,7
FEDXA01,M,2,6,19,9,13
FEDXA01,M,2,6,20,17,7
FEDXA01,M,2,6,21,0,7
FEDXA01,M,2,6,22,10,8
FEDXA01,M,2,6,23,13,13
FEDXA02,M,2,0,0,0,0
FEDXA02,M,2,0,1,0,0
FEDXA02,M,2,0,2,9,3
FEDXA02,M,2,0,3,2,13
FEDXA02,M,2,0,4,0,21
FEDXA02,M,2,0,5,9,13
FEDXA02,M,2,0,6,6,7
FEDXA02,M,2,0,7,0,9
FEDXA02,M,2,0,8,0,1
FEDXA02,M,2,0,9,5,3
FEDXA02,M,2,0,10,7,10
FEDXA02,M,2,0,11,4,1
FEDXA02,M,2,0,12,6,12
FEDXA02,M,2,0,13,14,16
FEDXA02,M,2,0,14,13,18
FEDXA02,M,2,0,15,9,11
FEDXA02,M,2,0,16,16,27
FEDXA02,M,2,0,17,5,8
FEDXA02,M,2,0,18,9,15
FEDXA02,M,2,0,19,13,5
FEDXA02,M,2,0,20,8,11
FEDXA02,M,2,0,21,0,9
FEDXA02,M,2,0,22,10,5
FEDXA02,M,2,0,23,9,7
FEDXA02,M,2,1,0,1,5
FEDXA02,M,2,1,1,2,6
FEDXA02,M,2,1,2,6,6
FEDXA02,M,2,1,3,4,2
FEDXA02,M,2,1,4,3,6
FEDXA02,M,2,1,5,2,6
FEDXA02,M,2,1,6,5,2
FEDXA02,M,2,1,7,5,1
FEDXA02,M,2,1,8,0,4
FEDXA02,M,2,1,9,4,0
FEDXA02,M,2,1,10,0,1
FEDXA02,M,2,1,11,2,7
FEDXA02,M,2,1,12,10,4
FEDXA02,M,2,1,13,18,9
FEDXA02,M,2,1,14,8,23
FEDXA02,M,2,1,15,10,9
FEDXA02,M,2,1,16,20,24
FEDXA02,M,2,1,17,11,16
