"Effect","df","MSE","F","pes","p.value"
"Order","1, 21","334.41","5.23 *",".199",".033"
"phase","1, 21","133.33","0.01","<.001",".932"
"Order:phase","1, 21","133.33","2.52",".107",".127"
"day","4.87, 102.22","34.10","4.74 ***",".184","<.001"
"Order:day","4.87, 102.22","34.10","2.26 +",".097",".056"
"phase:day","3.76, 78.91","48.62","12.11 ***",".366","<.001"
"Order:phase:day","3.76, 78.91","48.62","1.20",".054",".318"
