Sex,Order,Mouse,G0,G1,G2,NR0,NR1,NR2,NR3,NR4,NR5,NR6,PR0,PR1,PR2,PR3,PR4,PR5,PR6
M,1,FEDXA07,24,14,10,13,19,26,16,23,23,21,29,41,33,31,26,27,25
M,1,FEDXA08,26,16,19,34,36,36,25,16,11,16,13,21,25,9,21,15,12
M,1,FEDXA09,59,36,18,25,25,24,25,25,13,29,35,46,49,44,46,37,30
M,1,FEDXA10,29,14,17,24,26,36,22,17,31,17,28,27,26,25,22,26,29
M,1,FEDXA11,42,27,12,20,26,31,33,33,23,24,23,11,38,45,39,51,43
M,1,FEDXA12,35,22,26,26,27,33,23,31,35,35,33,49,53,49,26,23,35
M,2,FEDXA01,43,25,23,9,18,18,15,13,9,6,35,28,31,24,24,31,14
M,2,FEDXA02,41,39,22,13,17,32,27,23,15,12,36,39,54,47,45,37,34
M,2,FEDXA03,51,32,29,19,14,17,14,14,19,14,38,32,43,47,50,49,46
M,2,FEDXA04,56,43,26,14,14,13,5,10,23,7,29,33,37,44,37,37,30
M,2,FEDXA05,21,8,7,38,27,22,30,31,33,26,35,47,52,53,47,60,60
M,2,FEDXA06,44,28,2,36,38,33,33,25,28,33,54,49,67,50,57,45,64
F,1,FEDXB07,35,21,17,20,23,24,30,29,31,20,36,32,48,44,52,56,56
F,1,FEDXB08,21,6,2,16,12,21,14,7,17,6,29,26,15,9,21,25,29
F,1,FEDXB10,42,33,38,37,40,61,48,50,49,43,53,76,67,55,42,56,58
F,1,FEDXB11,25,43,36,39,42,47,43,40,37,43,34,37,35,37,34,39,39
F,1,FEDXB12,21,11,5,16,16,17,10,11,10,4,16,17,13,10,22,13,16
F,2,FEDXB01,29,22,14,56,36,40,39,29,58,39,20,34,63,61,65,64,54
F,2,FEDXB02,50,39,25,34,32,25,31,18,40,25,25,45,68,34,42,46,25
F,2,FEDXB03,20,37,23,52,57,53,46,46,34,28,31,41,50,55,62,61,48
F,2,FEDXB04,29,15,29,33,22,19,15,8,17,15,22,38,49,46,32,38,44
F,2,FEDXB05,33,30,24,24,32,41,20,25,46,37,38,40,43,45,39,38,30
F,2,FEDXB06,27,16,15,21,53,34,38,30,35,13,41,34,54,52,57,44,29
