"order","pellet_type","N","Mean","SD","SEM"
"ProteinRestricted","PR",6,18.6616300982636,2.64967125397304,1.08172375972574
"ProteinRestricted","RICH",6,8.79869737275876,3.23739529712724,1.32166109560794
"NonRestricted","PR",6,17.6712055192447,2.40400822895646,0.981432249732533
"NonRestricted","RICH",6,5.51634442680049,2.55578014375511,1.04339287448951
