"Order","phase","day","n","mean","sd"
"1","NR","0",11,0.832915447090909,0.562389490638987
"1","NR","1",11,0.844668046909091,0.627691730697446
"1","NR","2",11,1.09884236354545,1.05364764538912
"1","NR","3",11,0.927511911545455,0.692892280145357
"1","NR","4",11,0.705121503090909,0.460772009221711
"1","NR","5",11,0.846051130545455,0.586150001717869
"1","NR","6",11,0.760520274272727,0.431685020761923
"1","PR","0",11,0.839022854909091,0.574055008433042
"1","PR","1",11,0.931648888454545,0.698762624864129
"1","PR","2",11,0.931612977181818,0.589976116598595
"1","PR","3",11,0.932062748454545,0.526023229898198
"1","PR","4",11,0.919349216545455,0.499989989668704
"1","PR","5",11,0.928240888818182,0.630195845889405
"1","PR","6",11,0.935063621909091,0.704794318642188
"2","NR","0",12,0.769597242333333,0.270165219104116
"2","NR","1",12,0.759389424916667,0.251854546531085
"2","NR","2",12,0.587470606333333,0.218414440932089
"2","NR","3",12,0.7294828475,0.338557559572222
"2","NR","4",12,0.729300025583333,0.2278569274006
"2","NR","5",12,0.64465389075,0.267568442405062
"2","NR","6",12,0.73378469625,0.348898743222765
"2","PR","0",12,1.34773686875,0.592109260948006
"2","PR","1",12,1.61099669525,0.578722499089131
"2","PR","2",12,1.69994186191667,0.51697101885633
"2","PR","3",12,1.67015656291667,0.457878732709269
"2","PR","4",12,1.45947706016667,0.48705898318993
"2","PR","5",12,1.19130702566667,0.395482633790207
"2","PR","6",12,1.04639411825,0.284001448739928
