"contrast","estimate","SE","df","t.ratio","p.value"
"PR0 Order2 - PR1 Order2",-0.2632598265,0.125954121405198,21,-2.09012474989274,0.24476800031044
"PR0 Order2 - PR2 Order2",-0.352204993166667,0.132549823390295,21,-2.65715173478274,0.0884564844399593
"PR0 Order2 - PR3 Order2",-0.322419694166666,0.157675608165169,21,-2.04482924098776,0.24476800031044
"PR0 Order2 - PR4 Order2",-0.111740191416667,0.162868585512692,21,-0.686075777381629,0.592534458735656
"PR0 Order2 - PR5 Order2",0.156429843083333,0.146041771373207,21,1.07113082519096,0.592534458735656
"PR0 Order2 - PR6 Order2",0.3013427505,0.168415036512239,21,1.78928649567523,0.264008792798156
"PR0 Order2 - NR0 Order2",0.578139626416667,0.188586028333194,21,3.06565460615783,0.0410825744208428
"PR0 Order2 - NR1 Order2",0.588347443833333,0.168725675154635,21,3.48700601312824,0.0219868511476542
"PR0 Order2 - NR2 Order2",0.760266262416667,0.232582368563902,21,3.26880436858129,0.0293376864644558
"PR0 Order2 - NR3 Order2",0.61825402125,0.168375663168275,21,3.67187282067073,0.0156180719020215
"PR0 Order2 - NR4 Order2",0.618436843166667,0.150853913038141,21,4.0995744207862,0.0061452633009735
"PR0 Order2 - NR5 Order2",0.703082978,0.14568349199771,21,4.82609915755623,0.00117602385580164
"PR0 Order2 - NR6 Order2",0.6139521725,0.179922623327135,21,3.41231225482808,0.0235905229831558
