"contrast","estimate","SE","df","t.ratio","p.value","contrast_pretty"
"NR X4 Order1 - PR X5 Order1",-0.223119385727273,0.123388238678531,21,-1.80827109712276,1,"NANA OrderNA - NANA OrderNA"
"NR X4 Order1 - NR X6 Order1",-0.055398771181818,0.0821138141060714,21,-0.674658360288271,1,"NANA OrderNA - NANA OrderNA"
"NR X4 Order1 - PR X6 Order1",-0.229942118818182,0.0987213502012965,21,-2.32920354461645,1,"NANA OrderNA - NANA OrderNA"
"NR X4 Order1 - NR X0 Order2",-0.0644757392424242,0.165529989962218,21,-0.389510923411165,1,"NANA OrderNA - NANA OrderNA"
"NR X4 Order1 - PR X0 Order2",-0.642615365659091,0.200109715231723,21,-3.21131517735136,1,"NANA OrderNA - NANA OrderNA"
"NR X4 Order1 - NR X1 Order2",-0.0542679218257578,0.173398002844169,21,-0.312967398330001,1,"NANA OrderNA - NANA OrderNA"
"NR X4 Order1 - PR X1 Order2",-0.905875192159091,0.213678596682002,21,-4.23942877866809,0.127182716677093,"NANA OrderNA - NANA OrderNA"
"NR X4 Order1 - NR X2 Order2",0.117650896757576,0.240416559876516,21,0.489362699549498,1,"NANA OrderNA - NANA OrderNA"
"NR X4 Order1 - PR X2 Order2",-0.994820358825758,0.192721849230979,21,-5.16194900990938,0.0146940046539869,"NANA OrderNA - NANA OrderNA"
"NR X4 Order1 - NR X3 Order2",-0.0243613444090907,0.188992464442499,21,-0.128901141539972,1,"NANA OrderNA - NANA OrderNA"
"NR X4 Order1 - PR X3 Order2",-0.965035059825757,0.178311417348071,21,-5.4120766587928,0.00821009899296064,"NANA OrderNA - NANA OrderNA"
"NR X4 Order1 - NR X4 Order2",-0.0241785224924243,0.149514540802211,21,-0.161713518716614,1,"NANA OrderNA - NANA OrderNA"
"NR X4 Order1 - PR X4 Order2",-0.754355557075758,0.178713819045259,21,-4.22102533036195,0.132139876651126,"NANA OrderNA - NANA OrderNA"
"NR X4 Order1 - NR X5 Order2",0.0604676123409088,0.168588720532006,21,0.358669382803869,1,"NANA OrderNA - NANA OrderNA"
"NR X4 Order1 - PR X5 Order2",-0.486185522575758,0.185068448807636,21,-2.6270578572856,1,"NANA OrderNA - NANA OrderNA"
"NR X4 Order1 - NR X6 Order2",-0.0286631931590907,0.156114743242897,21,-0.183603371236335,1,"NANA OrderNA - NANA OrderNA"
"NR X4 Order1 - PR X6 Order2",-0.341272615159091,0.186803935747057,21,-1.82690270306292,1,"NANA OrderNA - NANA OrderNA"
"PR X4 Order1 - NR X5 Order1",0.0732980859999997,0.155468617142362,21,0.47146547867523,1,"NANA OrderNA - NANA OrderNA"
"PR X4 Order1 - PR X5 Order1",-0.00889167227272727,0.093622360366983,21,-0.0949738100799157,1,"NANA OrderNA - NANA OrderNA"
"PR X4 Order1 - NR X6 Order1",0.158828942272727,0.135525748173793,21,1.1719466183581,1,"NANA OrderNA - NANA OrderNA"
"PR X4 Order1 - PR X6 Order1",-0.0157144053636364,0.12227955859754,21,-0.128512120454715,1,"NANA OrderNA - NANA OrderNA"
"PR X4 Order1 - NR X0 Order2",0.149751974212121,0.194564858973966,21,0.769676369113287,1,"NANA OrderNA - NANA OrderNA"
"PR X4 Order1 - PR X0 Order2",-0.428387652204546,0.224720281462953,21,-1.90631503937115,1,"NANA OrderNA - NANA OrderNA"
"PR X4 Order1 - NR X1 Order2",0.159959791628788,0.201301202582136,21,0.794629091018569,1,"NANA OrderNA - NANA OrderNA"
"PR X4 Order1 - PR X1 Order2",-0.691647478704546,0.236883620055624,21,-2.91977756225667,1,"NANA OrderNA - NANA OrderNA"
"PR X4 Order1 - NR X2 Order2",0.331878610212121,0.261257399959362,21,1.2703127653561,1,"NANA OrderNA - NANA OrderNA"
"PR X4 Order1 - PR X2 Order2",-0.780592645371212,0.218167408064715,21,-3.57795260206632,0.574689949195549,"NANA OrderNA - NANA OrderNA"
"PR X4 Order1 - NR X3 Order2",0.189866369045455,0.214880102351793,21,0.883592137975685,1,"NANA OrderNA - NANA OrderNA"
"PR X4 Order1 - PR X3 Order2",-0.750807346371212,0.205548700621886,21,-3.65269809101031,0.485892002157336,"NANA OrderNA - NANA OrderNA"
"PR X4 Order1 - NR X4 Order2",0.190049190962121,0.181135045427338,21,1.0492127048841,1,"NANA OrderNA - NANA OrderNA"
"PR X4 Order1 - PR X4 Order2",-0.540127843621212,0.205897877328566,21,-2.62328029132274,1,"NANA OrderNA - NANA OrderNA"
"PR X4 Order1 - NR X5 Order2",0.274695325795454,0.19717368856236,21,1.39316420866457,1,"NANA OrderNA - NANA OrderNA"
"PR X4 Order1 - PR X5 Order2",-0.271957809121212,0.211437076963176,21,-1.28623519123174,1,"NANA OrderNA - NANA OrderNA"
"PR X4 Order1 - NR X6 Order2",0.185564520295455,0.186620255675699,21,0.994342868214268,1,"NANA OrderNA - NANA OrderNA"
"PR X4 Order1 - PR X6 Order2",-0.127044901704545,0.212957782626647,21,-0.596573180550428,1,"NANA OrderNA - NANA OrderNA"
