"","Order","Diet_Phase","mean_total_parameters","sd_total_parameters","count"
"1",1,"NR",229.181818181818,69.9540108668805,11
"2",1,"PR",272.545454545455,94.3974190710357,11
"3",2,"NR",238.333333333333,78.2784462768338,12
"4",2,"PR",336.083333333333,52.0567144098772,12
