Mouse ID,Sex,Order,PR,NR
FEDXA01,M,2,225,125
FEDXA02,M,2,332,197
FEDXA03,M,2,349,171
FEDXA04,M,2,292,130
FEDXA05,M,2,385,265
FEDXA06,M,2,408,269
FEDXA07,M,1,254,203
FEDXA08,M,1,143,204
FEDXA09,M,1,321,228
FEDXA10,M,1,227,240
FEDXA11,M,1,282,234
FEDXA12,M,1,310,268
FEDXB01,F,2,390,341
FEDXB02,F,2,327,243
FEDXB03,F,2,384,363
FEDXB04,F,2,290,178
FEDXB05,F,2,317,294
FEDXB06,F,2,334,284
FEDXB07,F,1,398,228
FEDXB08,F,1,208,132
FEDXB10,F,1,440,360
FEDXB11,F,1,277,309
FEDXB12,F,1,138,115
