"diff","lwr","upr","p adj","Group1","Group2"
-0.326666666666668,-2.16114270067313,1.50780936733979,0.999040226012841,"M.1.NR","F.1.NR"
1.05666666666667,-0.777809367339792,2.89114270067312,0.593992110804624,"F.2.NR","F.1.NR"
1.19,-0.644476034006461,3.02447603400646,0.445717126611917,"M.2.NR","F.1.NR"
0.46,-1.4560477274405,2.3760477274405,0.993750721722795,"F.1.PR","F.1.NR"
0.206666666666666,-1.62780936733979,2.04114270067312,0.99995411718054,"M.1.PR","F.1.NR"
0.0399999999999992,-1.79447603400646,1.87447603400646,0.999999999480179,"F.2.PR","F.1.NR"
-1.29333333333333,-3.12780936733979,0.541142700673124,0.341229865737833,"M.2.PR","F.1.NR"
1.38333333333333,-0.365770935959449,3.13243760262612,0.212055721428729,"F.2.NR","M.1.NR"
1.51666666666667,-0.232437602626118,3.26577093595945,0.130668732420385,"M.2.NR","M.1.NR"
0.786666666666668,-1.04780936733979,2.62114270067313,0.862914883826355,"F.1.PR","M.1.NR"
0.533333333333334,-1.21577093595945,2.28243760262612,0.974983590723134,"M.1.PR","M.1.NR"
0.366666666666667,-1.38243760262612,2.11577093595945,0.99728870091787,"F.2.PR","M.1.NR"
-0.966666666666666,-2.71577093595945,0.782437602626117,0.642098046100221,"M.2.PR","M.1.NR"
0.133333333333332,-1.61577093595945,1.88243760262611,0.999996834690369,"M.2.NR","F.2.NR"
-0.596666666666666,-2.43114270067312,1.23780936733979,0.964468683788605,"F.1.PR","F.2.NR"
-0.85,-2.59910426929278,0.899104269292783,0.771378322321178,"M.1.PR","F.2.NR"
-1.01666666666667,-2.76577093595945,0.732437602626116,0.583119919673202,"F.2.PR","F.2.NR"
-2.35,-4.09910426929278,-0.600895730707217,0.00259140777261868,"M.2.PR","F.2.NR"
-0.729999999999998,-2.56447603400646,1.10447603400646,0.902198316847264,"F.1.PR","M.2.NR"
-0.983333333333332,-2.73243760262611,0.765770935959451,0.62253815734271,"M.1.PR","M.2.NR"
-1.15,-2.89910426929278,0.599104269292785,0.428579425378261,"F.2.PR","M.2.NR"
-2.48333333333333,-4.23243760262611,-0.734229064040549,0.00126480082800018,"M.2.PR","M.2.NR"
-0.253333333333334,-2.08780936733979,1.58114270067312,0.999819491585213,"M.1.PR","F.1.PR"
-0.420000000000001,-2.25447603400646,1.41447603400646,0.995318863163723,"F.2.PR","F.1.PR"
-1.75333333333333,-3.58780936733979,0.0811427006731242,0.0698621765436941,"M.2.PR","F.1.PR"
-0.166666666666667,-1.91577093595945,1.58243760262612,0.999985334189096,"F.2.PR","M.1.PR"
-1.5,-3.24910426929278,0.249104269292783,0.139225911823167,"M.2.PR","M.1.PR"
-1.33333333333333,-3.08243760262612,0.415770935959449,0.250610625137359,"M.2.PR","F.2.PR"
