,num Df,den Df,MSE,F,ges,Pr(>F)
Order,1,21,1310.030329,1.740685405,0.045357128,0.201256983
time_phase,5.456889049,114.59467,178.7559293,11.83423112,0.193885502,9.83E-10
Order:time_phase,5.456889049,114.59467,178.7559293,2.846768049,0.05469321,0.015543155
