"Effect","df","MSE","F","pes","p.value"
"Order","1, 21","0.99","0.26",".012",".613"
"phase","1, 21","0.10","116.02 ***",".847","<.001"
"Order:phase","1, 21","0.10","26.51 ***",".558","<.001"
"day","4.78, 100.40","0.06","9.00 ***",".300","<.001"
"Order:day","4.78, 100.40","0.06","2.56 *",".109",".034"
"phase:day","4.51, 94.70","0.06","2.03 +",".088",".088"
"Order:phase:day","4.51, 94.70","0.06","1.66",".073",".160"
