Mouse_ID,Order,Sex,Diet_Phase,Current_Size,Next_Size,Time_Gap
FEDXA01,2,M,GRAIN,1,1,7.899999999999977
FEDXA01,2,M,GRAIN,1,1,2.6000000000000227
FEDXA01,2,M,GRAIN,1,1,6.383333333333326
FEDXA01,2,M,GRAIN,1,6,4.5
FEDXA01,2,M,GRAIN,6,4,14.816666666666606
FEDXA01,2,M,GRAIN,4,3,12.600000000000136
FEDXA01,2,M,GRAIN,3,2,6.0499999999999545
FEDXA01,2,M,GRAIN,2,1,3.133333333333212
FEDXA01,2,M,GRAIN,1,1,7.533333333
FEDXA01,2,M,GRAIN,1,2,2.166666666666515
FEDXA01,2,M,GRAIN,2,2,3.6000000000001364
FEDXA01,2,M,GRAIN,2,1,4.5
FEDXA01,2,M,GRAIN,1,1,8.866666667
FEDXA01,2,M,GRAIN,1,7,4.7333333333333485
FEDXA01,2,M,GRAIN,7,3,2.650000000000091
FEDXA01,2,M,GRAIN,3,3,8.399999999999864
FEDXA01,2,M,GRAIN,3,4,3
FEDXA01,2,M,GRAIN,4,4,12.466666666666697
FEDXA01,2,M,GRAIN,4,1,13.150000000000091
FEDXA01,2,M,GRAIN,1,7,10.283333333333303
FEDXA01,2,M,GRAIN,7,1,9.299999999999955
FEDXA01,2,M,GRAIN,1,4,2.099999999999909
FEDXA01,2,M,GRAIN,4,1,6.1666666666667425
FEDXA01,2,M,GRAIN,1,7,6.4833333333333485
FEDXA01,2,M,GRAIN,7,1,6.183333333333394
FEDXA01,2,M,GRAIN,1,1,8.899999999999864
FEDXA01,2,M,GRAIN,5,6,17.76666666666665
FEDXA01,2,M,GRAIN,6,7,12.466666666666697
FEDXA01,2,M,GRAIN,7,6,9.766666666666652
FEDXA01,2,M,GRAIN,6,1,3.2999999999999545
FEDXA01,2,M,GRAIN,1,7,4.600000000000136
FEDXA01,2,M,GRAIN,7,4,4
FEDXA01,2,M,GRAIN,4,2,47.48333333333335
FEDXA01,2,M,GRAIN,2,3,6.899999999999864
FEDXA01,2,M,GRAIN,3,2,3.9166666666667425
FEDXA01,2,M,GRAIN,2,2,1.716666666666697
FEDXA01,2,M,GRAIN,2,5,6.2333333333333485
FEDXA01,2,M,GRAIN,6,1,8.650000000000091
FEDXA01,2,M,GRAIN,1,3,52.11666666666656
FEDXA01,2,M,GRAIN,3,2,7.6666666666667425
FEDXA01,2,M,GRAIN,2,1,5.4500000000000455
FEDXA01,2,M,GRAIN,4,1,1.7333333333333485
FEDXA01,2,M,GRAIN,1,6,10.033333333333303
FEDXA01,2,M,GRAIN,2,6,38.59999999999991
FEDXA01,2,M,GRAIN,6,3,20.583333333333485
FEDXA01,2,M,GRAIN,3,1,13.466666666666242
FEDXA01,2,M,GRAIN,1,1,6.616666666666788
FEDXA01,2,M,GRAIN,1,1,8.083333333333485
FEDXA01,2,M,GRAIN,1,1,6.966666666666697
FEDXA01,2,M,GRAIN,1,7,14.883333333333212
FEDXA01,2,M,GRAIN,7,1,24.583333333333485
FEDXA01,2,M,GRAIN,1,1,8.166666666666515
FEDXA01,2,M,GRAIN,1,3,9.116666666666788
FEDXA01,2,M,GRAIN,3,3,16.65000000000009
FEDXA01,2,M,GRAIN,3,1,2.233333333333121
FEDXA01,2,M,GRAIN,1,4,8.400000000000091
FEDXA01,2,M,GRAIN,4,4,11.316666666666606
FEDXA01,2,M,GRAIN,4,4,12.25
FEDXA01,2,M,GRAIN,1,6,12.266666666666879
FEDXA01,2,M,GRAIN,6,6,12.166666666666515
FEDXA01,2,M,GRAIN,6,6,15.866666666666788
FEDXA01,2,M,GRAIN,6,3,10.933333333333394
FEDXA01,2,M,GRAIN,3,1,8.799999999999727
FEDXA01,2,M,GRAIN,1,4,13.266666666666879
FEDXA01,2,M,GRAIN,1,4,8.433333333333394
FEDXA01,2,M,GRAIN,4,5,10.266666666666424
FEDXA01,2,M,GRAIN,5,3,11.25
FEDXA01,2,M,GRAIN,3,3,3.833333333333485
FEDXA01,2,M,GRAIN,3,1,14.833333333333485
FEDXA01,2,M,GRAIN,1,3,4.933333333333394
FEDXA01,2,M,GRAIN,3,3,10.549999999999727
FEDXA01,2,M,GRAIN,3,1,7.050000000000182
FEDXA01,2,M,GRAIN,2,1,2.983333333333576
FEDXA01,2,M,GRAIN,1,1,17.799999999999727
FEDXA01,2,M,GRAIN,2,2,1.550000000000182
FEDXA01,2,M,GRAIN,2,5,59.34999999999991
FEDXA01,2,M,GRAIN,5,5,2.666666666666515
FEDXA01,2,M,GRAIN,5,1,41.76666666666688
FEDXA01,2,M,GRAIN,1,4,6.75
FEDXA01,2,M,GRAIN,4,2,7.816666666666606
FEDXA01,2,M,GRAIN,2,7,17.383333333333212
FEDXA01,2,M,GRAIN,7,5,61.51666666666688
FEDXA01,2,M,GRAIN,5,3,2.666666666666515
FEDXA01,2,M,GRAIN,3,4,48.70000000000027
FEDXA01,2,M,GRAIN,4,3,6.433333333333394
FEDXA01,2,M,GRAIN,3,2,4.549999999999727
FEDXA01,2,M,GRAIN,3,6,108.89999999999964
FEDXA01,2,M,GRAIN,5,3,2.233333333333576
FEDXA01,2,M,GRAIN,3,5,57.23333333333312
FEDXA01,2,M,GRAIN,5,1,27.66666666666697
FEDXA01,2,M,GRAIN,1,1,10.616666666666333
FEDXA01,2,M,GRAIN,1,3,6.150000000000091
FEDXA01,2,M,GRAIN,3,1,11.133333333333212
FEDXA01,2,M,GRAIN,1,4,22.31666666666706
FEDXA01,2,M,GRAIN,4,1,6.416666666666515
FEDXA01,2,M,GRAIN,1,1,8.199999999999818
FEDXA01,2,M,GRAIN,1,1,6.783333333333303
FEDXA01,2,M,GRAIN,1,1,11.633333333333667
FEDXA01,2,M,GRAIN,1,3,1.3333333333330302
FEDXA01,2,M,GRAIN,3,2,21.233333333333576
FEDXA01,2,M,GRAIN,2,7,2.349999999999909
FEDXA01,2,M,GRAIN,7,1,9.900000000000091
FEDXA01,2,M,GRAIN,1,2,6.949999999999818
FEDXA01,2,M,GRAIN,2,4,16.5
FEDXA01,2,M,GRAIN,4,1,9.466666666666697
FEDXA01,2,M,GRAIN,1,7,13.633333333333212
FEDXA01,2,M,GRAIN,7,1,15.550000000000182
FEDXA01,2,M,GRAIN,1,1,7.5
FEDXA01,2,M,GRAIN,1,1,4.183333333333394
FEDXA01,2,M,GRAIN,1,1,7.516666666666424
FEDXA01,2,M,GRAIN,1,1,4.366666666666788
FEDXA01,2,M,GRAIN,1,3,2.716666666666697
FEDXA01,2,M,GRAIN,3,2,5.466666666666697
FEDXA01,2,M,GRAIN,1,1,11.83333333333303
FEDXA01,2,M,GRAIN,1,1,9.083333333333485
FEDXA01,2,M,GRAIN,1,4,14.683333333333394
FEDXA01,2,M,GRAIN,4,1,5.699999999999818
FEDXA01,2,M,GRAIN,1,5,7.016666666666424
FEDXA01,2,M,GRAIN,5,5,15.283333333333758
FEDXA01,2,M,GRAIN,5,1,11.58333333333303
FEDXA01,2,M,GRAIN,1,1,5.516666666666879
FEDXA01,2,M,GRAIN,1,1,4.866666666666333
FEDXA01,2,M,GRAIN,1,1,3.800000000000182
FEDXA01,2,M,GRAIN,1,2,10.916666666666515
FEDXA01,2,M,GRAIN,2,3,2.866666666666788
FEDXA01,2,M,GRAIN,6,3,49.66666666666606
FEDXA01,2,M,GRAIN,3,3,19.550000000000182
FEDXA01,2,M,GRAIN,3,1,10.199999999999818
FEDXA01,2,M,GRAIN,1,3,11.58333333333394
FEDXA01,2,M,GRAIN,1,3,61.94999999999982
FEDXA01,2,M,GRAIN,3,1,2.566666666666606
FEDXA01,2,M,GRAIN,1,1,2.9000000000005457
FEDXA01,2,M,GRAIN,1,2,5.033333333332848
FEDXA01,2,M,PR,1,3,1.8499999999999943
FEDXA01,2,M,PR,3,2,3.3000000000000114
FEDXA01,2,M,PR,2,3,2.1500000000000057
FEDXA01,2,M,PR,3,5,90.38333333333333
FEDXA01,2,M,PR,5,6,2.7166666666666686
FEDXA01,2,M,PR,6,2,4.983333333
FEDXA01,2,M,PR,2,2,87.61666667
FEDXA01,2,M,PR,2,3,2.2999999999999545
FEDXA01,2,M,PR,3,7,59.81666666666666
FEDXA01,2,M,PR,7,4,65.03333333333336
FEDXA01,2,M,PR,5,6,64.23333333333335
FEDXA01,2,M,PR,6,4,62.58333333333326
FEDXA01,2,M,PR,4,1,26.050000000000068
FEDXA01,2,M,PR,1,1,5.4833333333333485
FEDXA01,2,M,PR,1,1,5.2333333333333485
FEDXA01,2,M,PR,1,1,15.75
FEDXA01,2,M,PR,1,1,4.899999999999977
FEDXA01,2,M,PR,1,1,3.6666666666666288
FEDXA01,2,M,PR,1,1,7.2333333333333485
FEDXA01,2,M,PR,1,3,16.08333333333337
FEDXA01,2,M,PR,3,3,11.366666666666674
FEDXA01,2,M,PR,3,1,17.283333333333303
FEDXA01,2,M,PR,1,3,11.016666666666652
FEDXA01,2,M,PR,3,1,4.433333333
FEDXA01,2,M,PR,1,2,6.5
FEDXA01,2,M,PR,2,1,15
FEDXA01,2,M,PR,1,1,5.683333333333394
FEDXA01,2,M,PR,1,1,11.5
FEDXA01,2,M,PR,1,1,5.2999999999999545
FEDXA01,2,M,PR,1,3,4.7000000000000455
FEDXA01,2,M,PR,3,1,18.01666666666665
FEDXA01,2,M,PR,1,3,5.899999999999977
FEDXA01,2,M,PR,3,1,7.9833333333333485
FEDXA01,2,M,PR,1,3,12.116666666666674
FEDXA01,2,M,PR,3,1,13.75
FEDXA01,2,M,PR,1,3,9.833333333333371
FEDXA01,2,M,PR,3,2,9.583333333333258
FEDXA01,2,M,PR,2,2,8.333333333333371
FEDXA01,2,M,PR,2,1,8.099999999999909
FEDXA01,2,M,PR,1,1,2.1000000000001364
FEDXA01,2,M,PR,1,2,5.666666666666515
FEDXA01,2,M,PR,2,1,3.5333333333335304
FEDXA01,2,M,PR,1,2,5.25
FEDXA01,2,M,PR,2,1,3.6833333333331666
FEDXA01,2,M,PR,1,2,10.450000000000045
FEDXA01,2,M,PR,2,2,4.066666666666606
FEDXA01,2,M,PR,2,3,10.166666666666742
FEDXA01,2,M,PR,3,2,9.25
FEDXA01,2,M,PR,2,3,6.7000000000000455
FEDXA01,2,M,PR,3,1,6.0833333333332575
FEDXA01,2,M,PR,1,2,25.083333333333485
FEDXA01,2,M,PR,2,1,7.0499999999999545
FEDXA01,2,M,PR,1,1,19.59999999999991
FEDXA01,2,M,PR,1,2,84.58333333333326
FEDXA01,2,M,PR,2,1,7.7000000000000455
