"Current_Size","Next_Size","Mean_Time_Gap","SD_Time_Gap","Count"
"1","1",9.50213810819175,18.3662089783656,2206
"1","2",11.6016967509004,21.0192399545602,1385
"1","3",13.4860372746712,25.6469779735415,1091
"1","4",15.3482792527262,24.4887837512357,678
"1","5",22.1273484848811,33.1713141555745,440
"1","6",28.7490079364828,35.6256049412386,252
"1","7",35.204946236542,43.0629938161952,155
"2","1",11.3940665701797,19.8200389548428,1382
"2","2",14.638170289863,24.7727955003635,920
"2","3",18.4889795918213,27.6920669997794,735
"2","4",25.4414923291353,36.0768236788989,478
"2","5",29.8920606060739,37.0652342256055,275
"2","6",38.2310416666875,40.9901924271975,160
"2","7",46.1784644195168,41.3143064865675,89
"3","1",13.7492321589762,21.8158794943615,1107
"3","2",16.2710060448886,24.8207896855386,772
"3","3",19.9798068284025,28.9882205213235,742
"3","4",25.1166666666744,33.8206645673191,477
"3","5",30.7966666666573,33.3098465025118,285
"3","6",42.0874686716567,41.4309627890943,133
"3","7",47.7444444444852,44.2443958095254,90
"4","1",15.2341062802034,26.0458597244947,690
"4","2",19.3044518027881,27.5125883930099,453
"4","3",21.5115308150941,31.3887182622832,503
"4","4",23.9304417670747,26.3868494700088,415
"4","5",32.1991452991599,35.3171589887882,273
"4","6",46.4875,45.0765703263801,136
"4","7",45.1403985507246,39.551036736369,92
"5","1",14.684774143303,16.5029066388651,428
"5","2",18.4857407407445,23.1839115334674,270
"5","3",24.9203252032265,31.1235727770464,287
"5","4",31.4980463980598,38.373685393123,273
"5","5",32.9840978592798,34.5858901307196,218
"5","6",31.8909523809548,30.1261834280954,140
"5","7",46.8087301586508,40.6142000143942,84
"6","1",20.5933042212402,28.1005829474566,229
"6","2",29.9134920634671,41.5415768575349,147
"6","3",26.5336477987023,30.2445272606786,159
"6","4",30.1660531697137,35.2948524776125,163
"6","5",41.4019607844093,38.2023649463202,136
"6","6",41.9698795179117,35.6883475871062,83
"6","7",39.6359649122806,34.9481179792617,57
"7","1",22.58733333336,30.4209623506217,150
"7","2",24.1707792207836,31.4748916171072,77
"7","3",27.3131944444757,23.4626820676643,96
"7","4",34.903993055552,39.1529558491326,96
"7","5",38.1997890295274,37.3333896609387,79
"7","6",46.2400497511941,44.0259670525506,67
"7","7",60.6686507937301,45.7913075919879,42
