"Sex","Order","Diet_Phase","mean_total_parameters","sd_total_parameters","count"
"F",1,"NR",0.720411428571429,0.130078402731364,5
"F",1,"PR",0.193142857142857,0.0137792360796517,5
"F",2,"NR",0.741514285714286,0.104352825372701,6
"F",2,"PR",0.195119047619048,0.0111488689521209,6
"M",1,"NR",0.688285714285714,0.0955933427790527,6
"M",1,"PR",0.190428571428571,0.0074505170345173,6
"M",2,"NR",0.831257142857143,0.12663784906704,6
"M",2,"PR",0.209857142857143,0.0134300910994221,6
