"F.1.NR","M.1.NR","F.2.NR","M.2.NR","F.1.PR","M.1.PR","F.2.PR","Comparison"
1,NA,NA,NA,NA,NA,NA,"M.1.NR"
1,1,NA,NA,NA,NA,NA,"F.2.NR"
0.330252344914964,0.0499271726266616,0.631449791611923,NA,NA,NA,NA,"M.2.NR"
2.4513252443036e-11,3.65568230142687e-11,3.17660126294448e-12,3.84230277801354e-14,NA,NA,NA,"F.1.PR"
8.16180680626369e-12,1.12681134196229e-11,7.62579779594795e-13,8.40820495794419e-15,1,NA,NA,"M.1.PR"
1.00163990924041e-11,1.39498597166985e-11,9.44042147339099e-13,1.02339041401576e-14,1,1,NA,"F.2.PR"
1.90035726148278e-11,2.71186076665516e-11,2.03543028405288e-12,2.06388517171511e-14,1,1,1,"M.2.PR"
