"diff","lwr","upr","p adj","Group1","Group2"
-0.0321257142857144,-0.189739988082349,0.12548855951092,0.997727148214561,"M.1.NR","F.1.NR"
0.0211028571428566,-0.136511416653778,0.178717130939491,0.999853186744443,"F.2.NR","F.1.NR"
0.110845714285713,-0.0467685595109208,0.268459988082348,0.344253569944427,"M.2.NR","F.1.NR"
-0.527268571428572,-0.691891311394638,-0.362645831462506,4.47935022407364e-11,"F.1.PR","F.1.NR"
-0.529982857142858,-0.687597130939492,-0.372368583346223,1.11343156916632e-11,"M.1.PR","F.1.NR"
-0.525292380952381,-0.682906654749015,-0.367678107155747,1.44022571646474e-11,"F.2.PR","F.1.NR"
-0.510554285714286,-0.66816855951092,-0.352940011917652,3.25428572978126e-11,"M.2.PR","F.1.NR"
0.0532285714285711,-0.0970507421676315,0.203507885024774,0.944575858504607,"F.2.NR","M.1.NR"
0.142971428571428,-0.00730788502477481,0.29325074216763,0.0721692593355324,"M.2.NR","M.1.NR"
-0.495142857142857,-0.652757130939492,-0.337528583346223,7.70945529637856e-11,"F.1.PR","M.1.NR"
-0.497857142857143,-0.648136456453346,-0.347577829260941,1.71191949505101e-11,"M.1.PR","M.1.NR"
-0.493166666666667,-0.643445980262869,-0.342887353070464,2.24606999665866e-11,"F.2.PR","M.1.NR"
-0.478428571428572,-0.628707885024774,-0.328149257832369,5.31010790894015e-11,"M.2.PR","M.1.NR"
0.0897428571428567,-0.0605364564533459,0.240022170739059,0.550121603957839,"M.2.NR","F.2.NR"
-0.548371428571429,-0.705985702368063,-0.390757154774794,4.05553368665323e-12,"F.1.PR","F.2.NR"
-0.551085714285714,-0.701365027881917,-0.400806400689512,7.50732809251531e-13,"M.1.PR","F.2.NR"
-0.546395238095238,-0.696674551691441,-0.396115924499035,1.01074704161874e-12,"F.2.PR","F.2.NR"
-0.531657142857143,-0.681936456453345,-0.38137782926094,2.43915998510147e-12,"M.2.PR","F.2.NR"
-0.638114285714285,-0.795728559510919,-0.480500011917651,0,"F.1.PR","M.2.NR"
-0.640828571428571,-0.791107885024773,-0.490549257832368,0,"M.1.PR","M.2.NR"
-0.636138095238095,-0.786417408834297,-0.485858781641892,0,"F.2.PR","M.2.NR"
-0.6214,-0.771679313596202,-0.471120686403797,0,"M.2.PR","M.2.NR"
-0.00271428571428578,-0.16032855951092,0.154899988082348,0.999999999900217,"M.1.PR","F.1.PR"
0.00197619047619052,-0.155638083320444,0.159590464272825,0.999999999989208,"F.2.PR","F.1.PR"
0.0167142857142856,-0.140899988082349,0.17432855951092,0.999969571695676,"M.2.PR","F.1.PR"
0.0046904761904763,-0.145588837405726,0.154969789786679,0.999999993627087,"F.2.PR","M.1.PR"
0.0194285714285714,-0.130850742167631,0.169707885024774,0.999883879216975,"M.2.PR","M.1.PR"
0.0147380952380951,-0.135541218358107,0.165017408834298,0.999982142572182,"M.2.PR","F.2.PR"
