"Sex","Order","Diet_Phase","mean_total_parameters","sd_total_parameters","count"
"F",1,"NR",21.122857142,0.740490736742898,5
"F",1,"PR",21.631428572,1.24766721185039,5
"F",2,"NR",20.65,1.81345875490422,6
"F",2,"PR",19.826190475,1.84774361233621,6
"M",1,"NR",25.504761905,0.995035292448991,6
"M",1,"PR",25.2476190483333,0.763753707879262,6
"M",2,"NR",25.0476190466667,0.903492844889957,6
"M",2,"PR",24.483333335,0.633256350405782,6
