"","Factor","Sum.Sq","Df","F.value","Pr..F."
"sex","sex",17203.2388167391,1,3.07748991563017,0.0874449569728552
"order","order",12851.8183621934,1,2.29906367216599,0.137727495361203
"Diet_Phase","Diet_Phase",79306.5217391303,1,14.1871553081271,0.000560698582282585
"sex:order","sex:order",2155.47936507937,1,0.38559401982644,0.538331636032465
"sex:Diet_Phase","sex:Diet_Phase",3212.19336219336,1,0.574629741789402,0.453100806512463
"order:Diet_Phase","order:Diet_Phase",13238.3638167388,1,2.36821284523558,0.132115201812432
"sex:order:Diet_Phase","sex:order:Diet_Phase",6054.47936507937,1,1.08308670180715,0.304584581834457
"Residuals","Residuals",212420.866666667,38,NA,NA
