"Factor","Sum.Sq","Df","F.value","Pr..F."
"Sex",10872.9610389611,1,1.00036322350603,0.323549354019005
"Order",48182.9610389611,1,4.43305756824512,0.041913764284733
"Diet_Phase",165600,1,15.2359738270918,0.000375784917140104
"Sex:Order",3922.00714285712,1,0.360842984168104,0.551604740872338
"Sex:Diet_Phase",280.035353535379,1,0.0257645610937525,0.873326915529772
"Order:Diet_Phase",39798.2171717171,1,3.66162195164973,0.0632348659722486
"Sex:Order:Diet_Phase",3114.57222222222,1,0.286555198432155,0.595555696437503
"Residuals",413022.5,38,NA,NA
