"diff","lwr","upr","p adj","Group1","Group2"
-37.8666666666667,-240.22526076307,164.491927429737,0.998679522417397,"M.1.Total.NR.Parameters","F.1.Total.NR.Parameters"
3.80000000000001,-198.558594096404,206.158594096404,0.999999999817148,"F.2.Total.NR.Parameters","F.1.Total.NR.Parameters"
-30.0333333333332,-232.391927429737,172.32526076307,0.999708594923754,"M.2.Total.NR.Parameters","F.1.Total.NR.Parameters"
72.2,-139.156658336755,283.556658336755,0.953985350686064,"F.1.Total.PR.Parameters","F.1.Total.NR.Parameters"
9.63333333333327,-192.72526076307,211.991927429737,0.999999879015374,"M.1.Total.PR.Parameters","F.1.Total.NR.Parameters"
159.3,-43.0585940964035,361.658594096404,0.216746288585973,"F.2.Total.PR.Parameters","F.1.Total.NR.Parameters"
166.8,-35.5585940964035,369.158594096404,0.17267234856523,"M.2.Total.PR.Parameters","F.1.Total.NR.Parameters"
41.6666666666667,-151.274682416588,234.608015749921,0.996736269283416,"F.2.Total.NR.Parameters","M.1.Total.NR.Parameters"
7.83333333333354,-185.108015749921,200.774682416588,0.999999960081891,"M.2.Total.NR.Parameters","M.1.Total.NR.Parameters"
110.066666666667,-92.2919274297368,312.42526076307,0.659901547853214,"F.1.Total.PR.Parameters","M.1.Total.NR.Parameters"
47.5,-145.441349083255,240.441349083255,0.99272916615244,"M.1.Total.PR.Parameters","M.1.Total.NR.Parameters"
197.166666666667,4.22531758341205,390.108015749921,0.0421616805953303,"F.2.Total.PR.Parameters","M.1.Total.NR.Parameters"
204.666666666667,11.725317583412,397.608015749921,0.0309208894639109,"M.2.Total.PR.Parameters","M.1.Total.NR.Parameters"
-33.8333333333332,-226.774682416588,159.108015749921,0.99913100809573,"M.2.Total.NR.Parameters","F.2.Total.NR.Parameters"
68.4,-133.958594096404,270.758594096403,0.956450195231533,"F.1.Total.PR.Parameters","F.2.Total.NR.Parameters"
5.83333333333326,-187.108015749921,198.774682416588,0.999999994897471,"M.1.Total.PR.Parameters","F.2.Total.NR.Parameters"
155.5,-37.4413490832547,348.441349083255,0.193547378915413,"F.2.Total.PR.Parameters","F.2.Total.NR.Parameters"
163,-29.9413490832547,355.941349083255,0.151383693403315,"M.2.Total.PR.Parameters","F.2.Total.NR.Parameters"
102.233333333333,-100.12526076307,304.591927429737,0.735959978201708,"F.1.Total.PR.Parameters","M.2.Total.NR.Parameters"
39.6666666666665,-153.274682416588,232.608015749921,0.997600461794468,"M.1.Total.PR.Parameters","M.2.Total.NR.Parameters"
189.333333333333,-3.60801574992149,382.274682416588,0.057691004771169,"F.2.Total.PR.Parameters","M.2.Total.NR.Parameters"
196.833333333333,3.89198425007851,389.774682416588,0.0427374657568015,"M.2.Total.PR.Parameters","M.2.Total.NR.Parameters"
-62.5666666666667,-264.92526076307,139.791927429737,0.972993729564106,"M.1.Total.PR.Parameters","F.1.Total.PR.Parameters"
87.1,-115.258594096403,289.458594096404,0.860672274675654,"F.2.Total.PR.Parameters","F.1.Total.PR.Parameters"
94.6,-107.758594096403,296.958594096404,0.803403044592259,"M.2.Total.PR.Parameters","F.1.Total.PR.Parameters"
149.666666666667,-43.274682416588,342.608015749921,0.231954224118012,"F.2.Total.PR.Parameters","M.1.Total.PR.Parameters"
157.166666666667,-35.774682416588,350.108015749921,0.183488759832013,"M.2.Total.PR.Parameters","M.1.Total.PR.Parameters"
7.5,-185.441349083255,200.441349083255,0.999999970521831,"M.2.Total.PR.Parameters","F.2.Total.PR.Parameters"
