"1.Total.NR.Parameters","2.Total.NR.Parameters","1.Total.PR.Parameters","Comparison"
0.85940867914177,NA,NA,"2.Total.NR.Parameters"
0.543961350353543,0.543961350353543,NA,"1.Total.PR.Parameters"
0.000521239867724572,0.000565956455554394,0.020439921231307,"2.Total.PR.Parameters"
